"On 22 July 2014 , King Philippe nominated Charles Michel ( MR ) and Kris Peeters ( CD & amp ; V ) to lead the formation of a new federal cabinet composed of the Flemish parties N-VA , CD & amp ; V , Open Vld and the French-speaking MR , which resulted in the Michel Government .","On that day a new government , led by Flemish Christian Democrat Yves Leterme , the actual winner of the federal elections of 2008 Leterme announced the resignation of the cabinet to the king , as no progress in constitutional reforms had been made .","A new agreement between the three same parties , New Flemish Alliance , Christen-Democratisch en Vlaams and Open Vlaamse Liberalen en Democraten , to form a government was obtained on 30 September 2019 , and the ministers were sworn in on 2 October 2019 .","The party is in coalition as part of the Michel Government since October 2014 , providing the current Prime Minister of Belgium Sophie Wilmès .","Since 25 July 2014 , the Minister-President of Flanders has been Geert Bourgeois ( N-VA ) , leading a coalition government of N-VA , Christen-Democratisch en Vlaams , and Open Vlaamse Liberalen en Democraten .","The current Wilmès II Government , a minority cabinet since March 2020 , consists of 12 Ministers in a coalition of the Dutch-speaking parties Open Vlaamse Liberalen en Democraten and Christen-Democratisch en Vlaams and the French-speaking party Mouvement Réformateur ."
"More recently , the memory of Charles Martel has been appropriated by far right and white nationalist groups , such as the ' Charles Martel Group ' in France , and by Australia -born Brenton Harrison Tarrant , the alleged perpetrator of the Christchurch mosque shootings at Al Noor Mosque and Linwood Islamic Centre in Christchurch , New Zealand in 2019 .","In the lead-up to the 2019 Australian federal election , extremist groups , some with members linked to far-right terrorism , have tried to present themselves as legitimate and exert influence on right-wing and far-right parties .",""" Kristy Campion , of Charles Sturt University , expert on far-right extremism and terrorism , says "" These groups are very good at framing their messaging in such a way that it will gain popular appeal .","According to him , many modern far-right movements , including parts of Jean-Marie Le Pen ' s National Front and Archbishop Marcel Lefebvre ' s Society of Saint Pius X , should be considered as parts of the Legitimist family .",Also present on this march were members of the Christian Heritage Party of New Zealand and white supremacist group New Zealand National Front .,"He adopted some of the positions of the contemporary far-right , notably the ethnopluralism of Alain de Benoist and the Europe -wide appeal associated with such views as the Europe a Nation campaign of Oswald Mosley ( amongst others ) ."
"In early 2013 , documents provided by Edward Snowden were published by "" The Washington Post "" and "" The Guardian "" , 31 Oct 2013 , Lorenzo Franceschi-Bicchierai , mashable.com","In 2013 , a top-secret order issued by the court , which was later leaked to the media from documents culled by Edward Snowden , required a subsidiary of Verizon to provide a daily , on-going feed of all call detail record sto the NSA .","In June 2013 , a copy of a top-secret warrant , issued by the court on April 25 , 2013 , was leaked to London 's "" The Guardian "" newspaper by NSA contractor Edward Snowden .","On June 10 , 2013 , Ellsberg published an editorial in "" The Guardian "" newspaper praising the actions of former Booz Allen worker Edward Snowden in revealing top-secret surveillance programs of the NSA .","In June 2013 the NSA 's PRISM and Boundless Informant programs for domestic and international surveillance were uncovered by "" The Guardian "" and "" The Washington Post "" as the result of information provided by whistleblower Edward Snowden .","In 2013 , and beyond , the SSCI received renewed attention in the wake of Edward Snowden ' s disclosures regarding the NSA surveillance of communications ."
"Before this , three territories of member states had left the EU or its forerunners , these being French Algeria ( in 1962 , upon independence ) , Greenland ( in 1985 , following a referendum ) and Saint Barthélemy ( in 2012 ) .","In January 2020 , the United Kingdom became the first member state ever to leave the EU .","In 1973 , the Communities were enlarged to include Denmark ( including Greenland , which later left the Communities in 1985 , following a dispute over fishing rights ) , Republic of Ireland , and the United Kingdom .","Membership has grown to 30 states as of 2020 : 27 EU member states , as well as three of the four member states of the EFTA ( Iceland , Liechtenstein and Norway ) .","The United Kingdom is the only EU member state to have held referendums on continued membership of the European Union and its antecedent organisation , the European Communities .",There are twenty-eight member states who have conferred powers upon the EU institutions ( other countries are European Economic Area in other ways ) .
"Distrust of national government was highest in Greece ( 82 % ) , Slovenia ( 80 % ) , Portugal ( 79 % ) , Cyprus ( 76 % ) and France ( 76 % ) .ref name = "" Eurobarometer Autumn 2015 , Trust in national government "" /","Immigration topped the list in Italy ( 66 % of citizens surveyed considered it a priority issue ) , Malta ( 65 % ) and Hungary ( 62 % ) but fighting youth unemployment and support for economic growth were top concerns in Spain , Greece , Portugal , Cyprus and Croatia .","In the January 2015 Greek legislative election the pro-European ( left and right-wing ) parties ( ND , PASOK , Potami , Movement of Democratic Socialists , Union of Centrists and Prasinoi - DIMAR ) got 43.28 % of the votes .","According to the Standard Eurobarometer 87 conducted by the European Commission in spring 2017 , 48 % of Italians tend not to trust the European Union compared to 36 % of Italians who do .","Press freedom sharply eroded in Greece during the economic and financial crisis of 2010-2015 , passing from the 35th place in 2009 in Reporters Without Borders Press Freedom Index to the 99th place in 2014 , well below all Western Balkans countries as well as states with repressive media policies such as Gabon , Kuwait or Liberia .","Russia is a low-trust society , with even the highest trusted institutions of church and the military having more distrustful than trusting citizens , and with low participation in civil society ."
"Those that won their national elections included : The Brexit Party in the UK ( which was only launched on 12 April 2019 by former UKIP leader Nigel Farage ) , the National Rally of France ( formerly the National Front party until June 2018 ) , Fidesz in Hungary , Lega Nord in Italy , and Law and Justice in Poland .","Those that won their national elections included : UKIP in the UK ( the first time since 1906 that a party other than Labour or the Conservatives had won a national vote ) , the National Front in France , the People 's Party in Denmark and Syriza in Greece .","On 12 April 2019 a new Eurosceptic party , the Brexit Party was officially launched by former UK Independence Party Leader Nigel Farage .","After the 2019 European Parliament election in Italy , Lega Nord co-founded the Identity and Democracy ( ID ) group , alongside the French National Rally , the Danish People 's Party , the Freedom Party of Austria , the Conservative People 's Party of Estonia , the Finns Party , the Belgian Vlaams Belang , the Czech Freedom and Direct Democracy party , and Alternative for Germany .","One year later , Le Pen announced the formation of Europe of Nations and Freedom , a parliamentary grouping composed of the National Front , the Freedom Party of Austria , Lega Nord of Italy , the Dutch Party for Freedom , the Congress of the New Right from Poland , the Flemish Vlaams Belang of Belgium , and British independent MEP Janice Atkinson , formerly of UKIP .","In January 2019 , Farage founded the Brexit Party , and in February , established it in the European Parliament , with nine MEPs who had left UKIP joining the party : himself , Tim Aker , Jonathan Bullock , David Coburn , Bill Etheridge , Nathan Gill , Diane James , Paul Nuttall and Julia Reid ."
"The FN received 33.9 % of the votes in the 2017 French presidential election , making it the largest Eurosceptic party in France .","In the 2014 European Parliament election in France , the National Front won the elections with 24.85 % of the vote , a swing of 18.55 % , winning 24 seats , up from 3 previously .","During the 2017 French legislative election , the FN received 13.02 % of the vote , which represented a disappointment compared to the 13.07 % of the 2012 elections .","In the 2014 European Parliament election in France , the party received 13.98 % of the vote on a joint list with the PS , electing one MEP Virginie Rozière , who joined the Progressive Alliance of Socialists and Democrats ( S & amp ; D ) group with PS MEPs .","She won the leadership of the FN in 2011 , with 67.65 % of the vote , defeating Bruno Gollnisch and succeeding her father , who had been president of the party since he founded it in 1972 .","On 24 May 2014 , the FN won the 2014 European Parliament election in France , with 24.90 % of the vote ."
"In the 2014 European Parliament election in France , the National Front won the elections with 24.85 % of the vote , a swing of 18.55 % , winning 24 seats , up from 3 previously .","In the 2009 European Parliament election in France , the party was an integral part of the Europe Écologie coalition , led by Daniel Cohn-Bendit , which gained 8 seats for a total of 14 on a 16.3 % of the vote .","During the 2017 French legislative election , the FN received 13.02 % of the vote , which represented a disappointment compared to the 13.07 % of the 2012 elections .","In the 2014 European Parliament election in France , the party received 13.98 % of the vote on a joint list with the PS , electing one MEP Virginie Rozière , who joined the Progressive Alliance of Socialists and Democrats ( S & amp ; D ) group with PS MEPs .","On 24 May 2014 , the FN won the 2014 European Parliament election in France , with 24.90 % of the vote .","Standing by itself in the 2004 European Parliament election in France , the MPF obtained 7.6 % of the popular vote and returned three Members of the European Parliament ( MEPs ) ."
"Knowledge of French is often considered to be a useful skill by business owners in the United Kingdom ; a 2014 study found that 50 % of British managers considered French to be a valuable asset for their business , thus ranking French as the most sought-after foreign language there , ahead of German ( 49 % ) and Spanish ( 44 % ) .","French has a long history as an international language of literature and scientific standards and is a primary or second language of many international organisations including the United Nations , the European Union , the North Atlantic Treaty Organization , the World Trade Organization , the International Olympic Committee , and the International Committee of the Red Cross .","French is the second most common language in Canada , after English , and both are official languages at the federal level .","In English-speaking Canada , the United Kingdom , and the Republic of Ireland , French is the first foreign language taught and in number of pupils is far ahead of other languages .","In the United States , Spanish is the most commonly taught foreign language , though French is next .","The English language ( British English ) is the "" de facto "" official language of the United Kingdom and is the sole language of an estimated 95 % of the British population ."
"In May 2013 , France and Germany released statements that they will join other European countries in calling for an European Union -blacklisting of Hezbollah as a terror group .","The United Nations Security Council has never listed Hezbollah as a terrorist organization under its sanctions list , although some of its members have done so individually .","In March 2016 , Gulf Cooperation Council designated Hezbollah as a terrorist organization due to its alleged attempts to undermine GCC states , and Arab League followed the move , with reservation by Iraq and Lebanon .","233 and Lebanon ( Hezbollah ) "" Hezbollah Terrorist Shia group is coy about revealing the sums it has received from Iran .",""" The group has been designated a terrorist organisation by the UN , the European Union ( EU ) and member states , the United States , India , Indonesia , Turkey , Saudi Arabia , Syria and other countries .","The United States , the European Union , the March 14 Alliance , and France accuse Assad of providing support to militant groups active against Israel and opposition political groups ."
"In the German-French docu-drama "" The Real American - Joe McCarthy "" ( 2012 ) , directed by Lutz Hachmeister , McCarthy is portrayed by the British actor and comedian John Sessions .Dorothy Rabinowitz .","McCarthy was portrayed by Peter Boyle in the 1977 Emmy-winning television movie "" Tail Gunner Joe "" , a dramatization of McCarthy 's life .","November 2012 ! --Please don 't add mention of the unsubstantiated ( though widely reported ) rumor that test audiences felt that the "" performer "" who "" played "" McCarthy was overacting in the absence of a well-documented and / or first-hand account of where and when such a reaction actually occurred.-- In Lee Daniels 2020 film , The United States vs. Billie Holiday McCarthy is portrayed by actor Randy Davison .","During Senator McCarthy 's tribute , the screen displaying his photograph left off his first name but included his middle name , calling him "" Senator Joseph McCarthy "" ; Joseph McCarthy was a notable Republican Senator from Wisconsin famous for his anti-Communist campaigning and sparring with journalist Edward R. Murrow .","Joseph McCarthy Rovere , Richard , "" Senator Joe McCarthy , "" Methuen Books ( 1959 ) ; reprinted by the University of California Press ( 1996 ) .",The film presents a satirical view of the McCarthy communist-hunt era and certain other aspects of United States politics and society .
"Following the timeline set by the Nouméa Accord , the groundwork was laid for a Referendum on full independence from France at a meeting chaired by the French Prime Minister Édouard Philippe on 2 November 2017 , with the referendum to be held by November 2018 .","On 28 September 1958 Charles de Gaulle proposed a constitutional referendum to the French Community : the territories were given the choice of either supporting the constitution or proclaiming their independence and being cut off from France.Nandjui , p .","The 1958 referendum on the new constitution of the French Fifth Republic was effectively an independence referendum , as if the terms of the constitution were rejected , the country would become an independent state .","In the 1958 referendum on establishing the French Community , 93 % of voters voted in favour ; a no vote would have resulted in immediate independence .","In 1958 a constitutional referendum was held across the French colonial empire ; rejection would result in immediate independence , whilst approval would result in the territory joining the French Community .",A referendum on remaining a United Nations Trust Territory or becoming an autonomous region within the French Union was held in 1956 and resulted in a large majority in favour of the French option .
