tokens,prompt,output,ner_tags
"['Gianfranco', 'Fini', ',', 'a', 'moderniser', 'who', 'saw', 'Nicolas', 'Sarkozy', 'and', 'David', 'Cameron', 'as', 'role-models', ',', 'impressed', 'an', 'ambitious', 'political', 'line', 'to', 'the', 'party', ',', 'combining', 'the', 'pillars', 'of', 'conservative', 'ideology', 'like', 'security', ',', 'family', 'values', 'and', 'patriotism', 'with', 'a', 'progressive', 'approach', 'in', 'other', 'areas', 'such', 'as', 'stem', 'cell', 'research', 'and', 'supporting', 'voting', 'rights', 'for', 'legal', 'aliens', '.']","
Dfn: An entity is a person (person), organisation (organisation), french politician (politician), french political party (politicalparty), event (event), election (election), 
country (country), location (location) or other political entity (misc). Dates, times, abstract concepts, adjectives, and verbs are not entities.

Example 1: In the 2014 European Parliament election in France , the National Front won the elections with 24.85 % of the vote , a swing of 18.55 % , winning 24 seats , up from 3 previously .

Answer:
1. 2014 European Parliament election | True | as it is an election (election)
2. France | True | as it is a country (country)
3. National Front | True | as it is a political party (frenchpoliticalparty)

Example 2: The FN received 33.9 % of the votes in the 2017 French presidential election , making it the largest Eurosceptic party in France .

Answer:
1. FN | True | as it is a political party (frenchpoliticalparty)
2. 2017 French presidential election | True | as it is an election (election)
3. Eurosceptic party | True | as it is a political party (frenchpoliticalparty)
4. France | True | as it is a country (country)

Example 3: The 2017 French presidential election caused a radical shift in French politics , as the prevailing parties of The Republicans and Socialists failed to make it to the second round of voting , with far-right Marine Le Pen and political newcomer Emmanuel Macron instead facing each other .

Answer:
1. 2017 French presidential election | True | as it is an election (election)
2. French politics | False | as it is an abstract concept, not a specific entity
3. The Republicans | True | as it is a political party (frenchpoliticalparty)
4. Socialists | True | as it is a political party (frenchpoliticalparty)
5. far-right | False | as it is an adjective describing a political orientation, not a specific entity
6. Marine Le Pen | True | as she is a French politician (frenchpolitician)
7. Emmanuel Macron | True | as he is a French politician (frenchpolitician)
8. political newcomer | False | as it is an abstract concept, not a specific entity

Q. Given the paragraph below, identify a list of possible entities and for each entry explain why it either is or is not an entity.

Paragraph: Gianfranco Fini , a moderniser who saw Nicolas Sarkozy and David Cameron as role-models , impressed an ambitious political line to the party , combining the pillars of conservative ideology like security , family values and patriotism with a progressive approach in other areas such as stem cell research and supporting voting rights for legal aliens .
","1. Gianfranco Fini | True | as he is a politician (politician)
2. Nicolas Sarkozy | True | as he is a politician (politician)
3. David Cameron | True | as he is a politician (politician)
4. moderniser | False | as it is an abstract concept, not a specific entity
5. ambitious political line | False | as it is an abstract concept, not a specific entity
6. party | True | as it is a political entity (misc), although the specific name or type of party is not mentioned
7. conservative ideology | False | as it is an abstract concept, not a specific entity
8. security | False | as it is an abstract concept, not a specific entity
9. family values | False | as it is an abstract concept, not a specific entity
10. patriotism | False | as it is an abstract concept, not a specific entity
11. stem cell research | False | as it is an abstract concept, not a specific entity
12. voting rights for legal aliens | False | as it is an abstract concept, not a specific entity, although ""legal aliens"" could be considered a misc political entity if referring to a specific group of people.","[57, 58, 0, 0, 0, 0, 0, 57, 58, 0, 57, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['(', 'Clockwise', ')', 'Obama', '(', 'standing', ')', ',', 'David', 'Cameron', ',', 'Dmitry', 'Medvedev', ',', 'Angela', 'Merkel', ',', 'Herman', 'Van', 'Rompuy', ',', 'José', 'Manuel', 'Barroso', ',', 'Yoshihiko', 'Noda', ',', 'Mario', 'Monti', ',', 'Stephen', 'Harper', ',', 'and', 'François', 'Hollande', '.']","
Dfn: An entity is a person (person), organisation (organisation), french politician (politician), french political party (politicalparty), event (event), election (election), 
country (country), location (location) or other political entity (misc). Dates, times, abstract concepts, adjectives, and verbs are not entities.

Example 1: In the 2014 European Parliament election in France , the National Front won the elections with 24.85 % of the vote , a swing of 18.55 % , winning 24 seats , up from 3 previously .

Answer:
1. 2014 European Parliament election | True | as it is an election (election)
2. France | True | as it is a country (country)
3. National Front | True | as it is a political party (frenchpoliticalparty)

Example 2: The FN received 33.9 % of the votes in the 2017 French presidential election , making it the largest Eurosceptic party in France .

Answer:
1. FN | True | as it is a political party (frenchpoliticalparty)
2. 2017 French presidential election | True | as it is an election (election)
3. Eurosceptic party | True | as it is a political party (frenchpoliticalparty)
4. France | True | as it is a country (country)

Example 3: The 2017 French presidential election caused a radical shift in French politics , as the prevailing parties of The Republicans and Socialists failed to make it to the second round of voting , with far-right Marine Le Pen and political newcomer Emmanuel Macron instead facing each other .

Answer:
1. 2017 French presidential election | True | as it is an election (election)
2. French politics | False | as it is an abstract concept, not a specific entity
3. The Republicans | True | as it is a political party (frenchpoliticalparty)
4. Socialists | True | as it is a political party (frenchpoliticalparty)
5. far-right | False | as it is an adjective describing a political orientation, not a specific entity
6. Marine Le Pen | True | as she is a French politician (frenchpolitician)
7. Emmanuel Macron | True | as he is a French politician (frenchpolitician)
8. political newcomer | False | as it is an abstract concept, not a specific entity

Q. Given the paragraph below, identify a list of possible entities and for each entry explain why it either is or is not an entity.

Paragraph: ( Clockwise ) Obama ( standing ) , David Cameron , Dmitry Medvedev , Angela Merkel , Herman Van Rompuy , José Manuel Barroso , Yoshihiko Noda , Mario Monti , Stephen Harper , and François Hollande .
","1. Obama | True | as he is a person (person), specifically a politician
2. David Cameron | True | as he is a person (person), specifically a politician
3. Dmitry Medvedev | True | as he is a person (person), specifically a politician
4. Angela Merkel | True | as she is a person (person), specifically a politician
5. Herman Van Rompuy | True | as he is a person (person), specifically a politician
6. José Manuel Barroso | True | as he is a person (person), specifically a politician
7. Yoshihiko Noda | True | as he is a person (person), specifically a politician
8. Mario Monti | True | as he is a person (person), specifically a politician
9. Stephen Harper | True | as he is a person (person), specifically a politician
10. François Hollande | True | as he is a person (person), specifically a politician
11. Clockwise | False | as it is an adverb indicating direction, not an entity.","[0, 0, 0, 51, 0, 0, 0, 0, 51, 52, 0, 51, 52, 0, 51, 52, 0, 51, 52, 52, 0, 51, 52, 52, 0, 51, 52, 0, 51, 52, 0, 51, 52, 0, 0, 51, 52, 0]"
"['He', 'interacted', 'adeptly', 'with', 'allies', 'such', 'as', 'Winston', 'Churchill', ',', 'Field', 'Marshal', 'Bernard', 'Montgomery', 'and', 'General', 'Charles', 'de', 'Gaulle', '.']","
Dfn: An entity is a person (person), organisation (organisation), french politician (politician), french political party (politicalparty), event (event), election (election), 
country (country), location (location) or other political entity (misc). Dates, times, abstract concepts, adjectives, and verbs are not entities.

Example 1: In the 2014 European Parliament election in France , the National Front won the elections with 24.85 % of the vote , a swing of 18.55 % , winning 24 seats , up from 3 previously .

Answer:
1. 2014 European Parliament election | True | as it is an election (election)
2. France | True | as it is a country (country)
3. National Front | True | as it is a political party (frenchpoliticalparty)

Example 2: The FN received 33.9 % of the votes in the 2017 French presidential election , making it the largest Eurosceptic party in France .

Answer:
1. FN | True | as it is a political party (frenchpoliticalparty)
2. 2017 French presidential election | True | as it is an election (election)
3. Eurosceptic party | True | as it is a political party (frenchpoliticalparty)
4. France | True | as it is a country (country)

Example 3: The 2017 French presidential election caused a radical shift in French politics , as the prevailing parties of The Republicans and Socialists failed to make it to the second round of voting , with far-right Marine Le Pen and political newcomer Emmanuel Macron instead facing each other .

Answer:
1. 2017 French presidential election | True | as it is an election (election)
2. French politics | False | as it is an abstract concept, not a specific entity
3. The Republicans | True | as it is a political party (frenchpoliticalparty)
4. Socialists | True | as it is a political party (frenchpoliticalparty)
5. far-right | False | as it is an adjective describing a political orientation, not a specific entity
6. Marine Le Pen | True | as she is a French politician (frenchpolitician)
7. Emmanuel Macron | True | as he is a French politician (frenchpolitician)
8. political newcomer | False | as it is an abstract concept, not a specific entity

Q. Given the paragraph below, identify a list of possible entities and for each entry explain why it either is or is not an entity.

Paragraph: He interacted adeptly with allies such as Winston Churchill , Field Marshal Bernard Montgomery and General Charles de Gaulle .
","1. He | False | as it is a pronoun, not a specific entity
2. Winston Churchill | True | as he is a person (person), specifically a British politician
3. Field Marshal Bernard Montgomery | True | as he is a person (person), specifically a British military leader
4. General Charles de Gaulle | True | as he is a person (person), specifically a French politician and military leader
5. allies | False | as it is an abstract concept, not a specific entity
6. Winston Churchill, Field Marshal Bernard Montgomery and General Charles de Gaulle | True | as they are all people (person) and are specific entities.","[0, 0, 0, 0, 0, 0, 0, 51, 52, 0, 51, 52, 52, 52, 0, 51, 52, 52, 52, 0]"
"['The', 'European', 'Union', 'was', 'formally', 'established', 'when', 'the', 'Maastricht', 'Treaty', '-', 'whose', 'main', 'architects', 'were', 'Helmut', 'Kohl', 'and', 'François', 'Mitterrand', '-', 'came', 'into', 'force', 'on', '1', 'November', '1993', '.']","
Dfn: An entity is a person (person), organisation (organisation), french politician (politician), french political party (politicalparty), event (event), election (election), 
country (country), location (location) or other political entity (misc). Dates, times, abstract concepts, adjectives, and verbs are not entities.

Example 1: In the 2014 European Parliament election in France , the National Front won the elections with 24.85 % of the vote , a swing of 18.55 % , winning 24 seats , up from 3 previously .

Answer:
1. 2014 European Parliament election | True | as it is an election (election)
2. France | True | as it is a country (country)
3. National Front | True | as it is a political party (frenchpoliticalparty)

Example 2: The FN received 33.9 % of the votes in the 2017 French presidential election , making it the largest Eurosceptic party in France .

Answer:
1. FN | True | as it is a political party (frenchpoliticalparty)
2. 2017 French presidential election | True | as it is an election (election)
3. Eurosceptic party | True | as it is a political party (frenchpoliticalparty)
4. France | True | as it is a country (country)

Example 3: The 2017 French presidential election caused a radical shift in French politics , as the prevailing parties of The Republicans and Socialists failed to make it to the second round of voting , with far-right Marine Le Pen and political newcomer Emmanuel Macron instead facing each other .

Answer:
1. 2017 French presidential election | True | as it is an election (election)
2. French politics | False | as it is an abstract concept, not a specific entity
3. The Republicans | True | as it is a political party (frenchpoliticalparty)
4. Socialists | True | as it is a political party (frenchpoliticalparty)
5. far-right | False | as it is an adjective describing a political orientation, not a specific entity
6. Marine Le Pen | True | as she is a French politician (frenchpolitician)
7. Emmanuel Macron | True | as he is a French politician (frenchpolitician)
8. political newcomer | False | as it is an abstract concept, not a specific entity

Q. Given the paragraph below, identify a list of possible entities and for each entry explain why it either is or is not an entity.

Paragraph: The European Union was formally established when the Maastricht Treaty - whose main architects were Helmut Kohl and François Mitterrand - came into force on 1 November 1993 .
","1. European Union | True | as it is an organization (organisation)
2. Maastricht Treaty | True | as it is an event (event)
3. Helmut Kohl | True | as he is a politician (politician)
4. François Mitterrand | True | as he is a French politician (frenchpolitician)
5. 1 November 1993 | False | as it is a date, not an entity
6. came into force | False | as it is a verb phrase, not an entity.","[0, 0, 0, 0, 0, 0, 0, 0, 29, 30, 0, 0, 0, 0, 0, 57, 58, 0, 79, 80, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['In', 'February', '2004', ',', 'he', 'became', 'a', 'candidate', 'of', 'Jacques', 'Chirac', 'and', 'Gerhard', 'Schröder', 'for', 'the', 'presidency', 'of', 'the', 'European', 'Commission', 'but', 'he', 'decided', 'not', 'to', 'run', 'for', 'this', 'office', '.']","
Dfn: An entity is a person (person), organisation (organisation), french politician (politician), french political party (politicalparty), event (event), election (election), 
country (country), location (location) or other political entity (misc). Dates, times, abstract concepts, adjectives, and verbs are not entities.

Example 1: In the 2014 European Parliament election in France , the National Front won the elections with 24.85 % of the vote , a swing of 18.55 % , winning 24 seats , up from 3 previously .

Answer:
1. 2014 European Parliament election | True | as it is an election (election)
2. France | True | as it is a country (country)
3. National Front | True | as it is a political party (frenchpoliticalparty)

Example 2: The FN received 33.9 % of the votes in the 2017 French presidential election , making it the largest Eurosceptic party in France .

Answer:
1. FN | True | as it is a political party (frenchpoliticalparty)
2. 2017 French presidential election | True | as it is an election (election)
3. Eurosceptic party | True | as it is a political party (frenchpoliticalparty)
4. France | True | as it is a country (country)

Example 3: The 2017 French presidential election caused a radical shift in French politics , as the prevailing parties of The Republicans and Socialists failed to make it to the second round of voting , with far-right Marine Le Pen and political newcomer Emmanuel Macron instead facing each other .

Answer:
1. 2017 French presidential election | True | as it is an election (election)
2. French politics | False | as it is an abstract concept, not a specific entity
3. The Republicans | True | as it is a political party (frenchpoliticalparty)
4. Socialists | True | as it is a political party (frenchpoliticalparty)
5. far-right | False | as it is an adjective describing a political orientation, not a specific entity
6. Marine Le Pen | True | as she is a French politician (frenchpolitician)
7. Emmanuel Macron | True | as he is a French politician (frenchpolitician)
8. political newcomer | False | as it is an abstract concept, not a specific entity

Q. Given the paragraph below, identify a list of possible entities and for each entry explain why it either is or is not an entity.

Paragraph: In February 2004 , he became a candidate of Jacques Chirac and Gerhard Schröder for the presidency of the European Commission but he decided not to run for this office .
","1. February 2004 | False | as it is a date, not an entity
2. Jacques Chirac | True | as he is a French politician (frenchpolitician)
3. Gerhard Schröder | False | as he is a German politician, not a French one
4. presidency of the European Commission | True | as it is a political entity (misc)
5. European Commission | True | as it is an organization (organization)
6. office | False | as it is an abstract concept, not a specific entity.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 79, 80, 0, 0, 0, 0, 0, 41, 42, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['The', 'alliance', 'was', 'especially', 'close', 'in', 'the', 'late', '1980s', 'and', 'early', '1990s', 'under', 'the', 'leadership', 'of', 'Christian', 'Democrat', 'Helmut', 'Kohl', 'and', 'Socialist', 'François', 'Mitterrand', '.']","
Dfn: An entity is a person (person), organisation (organisation), french politician (politician), french political party (politicalparty), event (event), election (election), 
country (country), location (location) or other political entity (misc). Dates, times, abstract concepts, adjectives, and verbs are not entities.

Example 1: In the 2014 European Parliament election in France , the National Front won the elections with 24.85 % of the vote , a swing of 18.55 % , winning 24 seats , up from 3 previously .

Answer:
1. 2014 European Parliament election | True | as it is an election (election)
2. France | True | as it is a country (country)
3. National Front | True | as it is a political party (frenchpoliticalparty)

Example 2: The FN received 33.9 % of the votes in the 2017 French presidential election , making it the largest Eurosceptic party in France .

Answer:
1. FN | True | as it is a political party (frenchpoliticalparty)
2. 2017 French presidential election | True | as it is an election (election)
3. Eurosceptic party | True | as it is a political party (frenchpoliticalparty)
4. France | True | as it is a country (country)

Example 3: The 2017 French presidential election caused a radical shift in French politics , as the prevailing parties of The Republicans and Socialists failed to make it to the second round of voting , with far-right Marine Le Pen and political newcomer Emmanuel Macron instead facing each other .

Answer:
1. 2017 French presidential election | True | as it is an election (election)
2. French politics | False | as it is an abstract concept, not a specific entity
3. The Republicans | True | as it is a political party (frenchpoliticalparty)
4. Socialists | True | as it is a political party (frenchpoliticalparty)
5. far-right | False | as it is an adjective describing a political orientation, not a specific entity
6. Marine Le Pen | True | as she is a French politician (frenchpolitician)
7. Emmanuel Macron | True | as he is a French politician (frenchpolitician)
8. political newcomer | False | as it is an abstract concept, not a specific entity

Q. Given the paragraph below, identify a list of possible entities and for each entry explain why it either is or is not an entity.

Paragraph: The alliance was especially close in the late 1980s and early 1990s under the leadership of Christian Democrat Helmut Kohl and Socialist François Mitterrand .
","1. The alliance | False | as it is an abstract concept, not a specific entity
2. Late 1980s and early 1990s | False | as it is a time period, not a specific entity
3. Christian Democrat | True | as it is a political entity (misc)
4. Helmut Kohl | True | as he is a politician (politician)
5. Socialist | True | as it is a political entity (misc)
6. François Mitterrand | True | as he is a politician (frenchpolitician)","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 42, 57, 58, 0, 41, 79, 80, 0]"
"['Testifying', 'at', 'Nuremberg', ',', 'convicted', 'Hitler', 'Youth', 'leader', 'Baldur', 'von', 'Schirach', 'who', ',', 'in', 'his', 'role', 'as', 'military', 'governor', 'of', 'Vienna', ',', 'deported', '65,000', 'Jews', 'to', 'camps', 'in', 'Poland', ',', 'stated', ':']","
Dfn: An entity is a person (person), organisation (organisation), french politician (politician), french political party (politicalparty), event (event), election (election), 
country (country), location (location) or other political entity (misc). Dates, times, abstract concepts, adjectives, and verbs are not entities.

Example 1: In the 2014 European Parliament election in France , the National Front won the elections with 24.85 % of the vote , a swing of 18.55 % , winning 24 seats , up from 3 previously .

Answer:
1. 2014 European Parliament election | True | as it is an election (election)
2. France | True | as it is a country (country)
3. National Front | True | as it is a political party (frenchpoliticalparty)

Example 2: The FN received 33.9 % of the votes in the 2017 French presidential election , making it the largest Eurosceptic party in France .

Answer:
1. FN | True | as it is a political party (frenchpoliticalparty)
2. 2017 French presidential election | True | as it is an election (election)
3. Eurosceptic party | True | as it is a political party (frenchpoliticalparty)
4. France | True | as it is a country (country)

Example 3: The 2017 French presidential election caused a radical shift in French politics , as the prevailing parties of The Republicans and Socialists failed to make it to the second round of voting , with far-right Marine Le Pen and political newcomer Emmanuel Macron instead facing each other .

Answer:
1. 2017 French presidential election | True | as it is an election (election)
2. French politics | False | as it is an abstract concept, not a specific entity
3. The Republicans | True | as it is a political party (frenchpoliticalparty)
4. Socialists | True | as it is a political party (frenchpoliticalparty)
5. far-right | False | as it is an adjective describing a political orientation, not a specific entity
6. Marine Le Pen | True | as she is a French politician (frenchpolitician)
7. Emmanuel Macron | True | as he is a French politician (frenchpolitician)
8. political newcomer | False | as it is an abstract concept, not a specific entity

Q. Given the paragraph below, identify a list of possible entities and for each entry explain why it either is or is not an entity.

Paragraph: Testifying at Nuremberg , convicted Hitler Youth leader Baldur von Schirach who , in his role as military governor of Vienna , deported 65,000 Jews to camps in Poland , stated :
","1. Nuremberg | True | as it is a location (location)
2. Hitler Youth | True | as it is an organization (organization)
3. Baldur von Schirach | True | as he is a person (person)
4. military governor of Vienna | True | as it is a role held by a person, Baldur von Schirach (person)
5. Vienna | True | as it is a location (location)
6. 65,000 Jews | True | as it refers to a group of people (people)
7. camps in Poland | True | as it is a location (location) where events took place
8. Poland | True | as it is a country (country)
9. convicted | False | as it is an adjective describing the status of Baldur von Schirach, not a specific entity
10. deported | False | as it is a verb describing an action taken by Baldur von Schirach, not a specific entity.","[0, 0, 35, 0, 0, 0, 0, 0, 51, 52, 52, 0, 0, 0, 0, 0, 0, 51, 52, 52, 35, 0, 0, 51, 52, 0, 35, 36, 21, 0, 0, 0]"
"['President', 'François', 'Mitterrand', ',', 'a', 'Socialist', ',', 'for', 'example', ',', 'was', 'forced', 'to', 'cohabit', 'with', 'the', 'neo-Gaullist', '(', 'right', 'wing', ')', 'Jacques', 'Chirac', ',', 'who', 'became', 'his', 'prime', 'minister', 'from', '1986', 'to', '1988', '.']","
Dfn: An entity is a person (person), organisation (organisation), french politician (politician), french political party (politicalparty), event (event), election (election), 
country (country), location (location) or other political entity (misc). Dates, times, abstract concepts, adjectives, and verbs are not entities.

Example 1: In the 2014 European Parliament election in France , the National Front won the elections with 24.85 % of the vote , a swing of 18.55 % , winning 24 seats , up from 3 previously .

Answer:
1. 2014 European Parliament election | True | as it is an election (election)
2. France | True | as it is a country (country)
3. National Front | True | as it is a political party (frenchpoliticalparty)

Example 2: The FN received 33.9 % of the votes in the 2017 French presidential election , making it the largest Eurosceptic party in France .

Answer:
1. FN | True | as it is a political party (frenchpoliticalparty)
2. 2017 French presidential election | True | as it is an election (election)
3. Eurosceptic party | True | as it is a political party (frenchpoliticalparty)
4. France | True | as it is a country (country)

Example 3: The 2017 French presidential election caused a radical shift in French politics , as the prevailing parties of The Republicans and Socialists failed to make it to the second round of voting , with far-right Marine Le Pen and political newcomer Emmanuel Macron instead facing each other .

Answer:
1. 2017 French presidential election | True | as it is an election (election)
2. French politics | False | as it is an abstract concept, not a specific entity
3. The Republicans | True | as it is a political party (frenchpoliticalparty)
4. Socialists | True | as it is a political party (frenchpoliticalparty)
5. far-right | False | as it is an adjective describing a political orientation, not a specific entity
6. Marine Le Pen | True | as she is a French politician (frenchpolitician)
7. Emmanuel Macron | True | as he is a French politician (frenchpolitician)
8. political newcomer | False | as it is an abstract concept, not a specific entity

Q. Given the paragraph below, identify a list of possible entities and for each entry explain why it either is or is not an entity.

Paragraph: President François Mitterrand , a Socialist , for example , was forced to cohabit with the neo-Gaullist ( right wing ) Jacques Chirac , who became his prime minister from 1986 to 1988 .
","1. President François Mitterrand | True | as he is a French politician (frenchpolitician)
2. Socialist | True | as it is a political party (frenchpoliticalparty)
3. for example | False | as it is a phrase used for giving an example, not a specific entity
4. neo-Gaullist | True | as it is a political entity (misc), it refers to a specific political ideology
5. right wing | False | as it is an adjective describing a political orientation, not a specific entity
6. Jacques Chirac | True | as he is a French politician (frenchpolitician)
7. prime minister | False | as it is a job title, not a specific entity
8. 1986 to 1988 | False | as it is a time period, not a specific entity","[79, 80, 80, 0, 0, 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 79, 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Nevertheless', ',', 'at', 'the', 'insistence', 'of', 'the', 'Americans', ',', 'Charles', 'de', 'Gaulle', 'was', 'not', 'invited', 'to', 'Potsdam', ',', 'just', 'as', 'he', 'had', 'been', 'denied', 'representation', 'at', 'Yalta', '.']","
Dfn: An entity is a person (person), organisation (organisation), french politician (politician), french political party (politicalparty), event (event), election (election), 
country (country), location (location) or other political entity (misc). Dates, times, abstract concepts, adjectives, and verbs are not entities.

Example 1: In the 2014 European Parliament election in France , the National Front won the elections with 24.85 % of the vote , a swing of 18.55 % , winning 24 seats , up from 3 previously .

Answer:
1. 2014 European Parliament election | True | as it is an election (election)
2. France | True | as it is a country (country)
3. National Front | True | as it is a political party (frenchpoliticalparty)

Example 2: The FN received 33.9 % of the votes in the 2017 French presidential election , making it the largest Eurosceptic party in France .

Answer:
1. FN | True | as it is a political party (frenchpoliticalparty)
2. 2017 French presidential election | True | as it is an election (election)
3. Eurosceptic party | True | as it is a political party (frenchpoliticalparty)
4. France | True | as it is a country (country)

Example 3: The 2017 French presidential election caused a radical shift in French politics , as the prevailing parties of The Republicans and Socialists failed to make it to the second round of voting , with far-right Marine Le Pen and political newcomer Emmanuel Macron instead facing each other .

Answer:
1. 2017 French presidential election | True | as it is an election (election)
2. French politics | False | as it is an abstract concept, not a specific entity
3. The Republicans | True | as it is a political party (frenchpoliticalparty)
4. Socialists | True | as it is a political party (frenchpoliticalparty)
5. far-right | False | as it is an adjective describing a political orientation, not a specific entity
6. Marine Le Pen | True | as she is a French politician (frenchpolitician)
7. Emmanuel Macron | True | as he is a French politician (frenchpolitician)
8. political newcomer | False | as it is an abstract concept, not a specific entity

Q. Given the paragraph below, identify a list of possible entities and for each entry explain why it either is or is not an entity.

Paragraph: Nevertheless , at the insistence of the Americans , Charles de Gaulle was not invited to Potsdam , just as he had been denied representation at Yalta .
","1. Charles de Gaulle | True | as he is a French politician (frenchpolitician)
2. Potsdam | True | as it is a location (location)
3. Americans | True | as it is a nationality, referring to people from the country (country) of the United States
4. insistence | False | as it is an abstract concept, not a specific entity
5. representation | False | as it is an abstract concept, not a specific entity
6. Yalta | True | as it is a location (location)","[0, 0, 0, 0, 0, 0, 0, 21, 0, 79, 80, 80, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 0]"
"['President', 'Jacques', 'Chirac', 'was', 'first', 'elected', 'in', '1995', 'and', 'again', 'in', '2002', '.']","
Dfn: An entity is a person (person), organisation (organisation), french politician (politician), french political party (politicalparty), event (event), election (election), 
country (country), location (location) or other political entity (misc). Dates, times, abstract concepts, adjectives, and verbs are not entities.

Example 1: In the 2014 European Parliament election in France , the National Front won the elections with 24.85 % of the vote , a swing of 18.55 % , winning 24 seats , up from 3 previously .

Answer:
1. 2014 European Parliament election | True | as it is an election (election)
2. France | True | as it is a country (country)
3. National Front | True | as it is a political party (frenchpoliticalparty)

Example 2: The FN received 33.9 % of the votes in the 2017 French presidential election , making it the largest Eurosceptic party in France .

Answer:
1. FN | True | as it is a political party (frenchpoliticalparty)
2. 2017 French presidential election | True | as it is an election (election)
3. Eurosceptic party | True | as it is a political party (frenchpoliticalparty)
4. France | True | as it is a country (country)

Example 3: The 2017 French presidential election caused a radical shift in French politics , as the prevailing parties of The Republicans and Socialists failed to make it to the second round of voting , with far-right Marine Le Pen and political newcomer Emmanuel Macron instead facing each other .

Answer:
1. 2017 French presidential election | True | as it is an election (election)
2. French politics | False | as it is an abstract concept, not a specific entity
3. The Republicans | True | as it is a political party (frenchpoliticalparty)
4. Socialists | True | as it is a political party (frenchpoliticalparty)
5. far-right | False | as it is an adjective describing a political orientation, not a specific entity
6. Marine Le Pen | True | as she is a French politician (frenchpolitician)
7. Emmanuel Macron | True | as he is a French politician (frenchpolitician)
8. political newcomer | False | as it is an abstract concept, not a specific entity

Q. Given the paragraph below, identify a list of possible entities and for each entry explain why it either is or is not an entity.

Paragraph: President Jacques Chirac was first elected in 1995 and again in 2002 .
","1. President Jacques Chirac | True | as he is a French politician (frenchpolitician)
2. 1995 | False | as it is a date, not an entity
3. 2002 | False | as it is a date, not an entity
4. Elected | False | as it is a verb, not an entity
5. First | False | as it is an adjective, not an entity
6. Again | False | as it is an adverb, not an entity","[79, 80, 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
