tokens,prompt,output,ner_tags
"['Christchurch', 'was', 'a', 'parliamentary', 'electorate', 'in', 'Christchurch', ',', 'New', 'Zealand', '.']","
Dfn: An entity is a person (person), organisation (organisation), politician (politician), political party (politicalparty), event (event), election (election), 
country (country), location (location) or other political entity (misc). Dates, times, abstract concepts, adjectives, and verbs are not entities.

Example 1: Sitting as a Liberal Party of Canada Member of Parliament (MP) for Niagara Falls, she joined the Canadian Cabinet after the Liberals defeated the 
Progressive Conservative Party of Canada government of John Diefenbaker in the 1963 Canadian federal election.

Answer:
1. Liberal Party of Canada | True | as it is a political party (politicalparty)
2. Parliament | True | as it is an organisation (organisation)
3. Niagara Falls | True | as it is a location (location)
4. Canadian Cabinet | True | as it is a political entity (misc)
5. Liberals | True | as it is a political group by not the party name (misc)
6. Progressive Conservative Party of Canada | True | as it is a political party (politicalparty)
7. government | False | as it is not actually an entity in this sentence
8. John Diefenbaker | True | as it is a politician (politician)
9. 1963 Canadian federal election | True | as it is an election (election)

Example 2: The MRE took part to the consolidation of The Olive Tree as a joint electoral list both for the
2004 European Parliament election and the 2006 Italian general election, along with the Democrats of the Left
and Democracy is Freedom - The Daisy.

Answer:
1. MRE | True | as it is a political party (politicalparty)
2. consolidation | False | as it is an action
3. The Olive Tree | True | as it is a group or organisation (organisation)
4. 2004 European Parliament election | True | as it is an election (election)
5. 2006 Italian general election | True | as it is an election (election)
6. Democrats of the Left | True | as it is a political party (politicalparty)
7. Democracy is Freedom - The Daisy | True | as it is an political party (politicalparty)

Q. Given the paragraph below, identify a list of possible entities and for each entry explain why it either is or is not an entity.

Paragraph: Christchurch was a parliamentary electorate in Christchurch , New Zealand .
","1. Christchurch (first mention) | True | as it is a parliamentary electorate, which is a political entity (misc)
2. parliamentary electorate | False | as it is a general term for a voting district, not a specific entity in this context
3. Christchurch (second mention) | True | as it is a location (location)
4. New Zealand | True | as it is a country (country)","[0, 0, 0, 0, 0, 0, 0, 0, 21, 22, 0]"
"['Only', 'then', 'will', '2012', 'Egyptian', 'presidential', 'election', 'be', 'held', ',', '""', 'no', 'later', 'than', '30', 'June', '2012', '""', 'according', 'to', 'Mohamed', 'Hussein', 'Tantawi', ""'"", 's', 'statement', '.']","
Dfn: An entity is a person (person), organisation (organisation), politician (politician), political party (politicalparty), event (event), election (election), 
country (country), location (location) or other political entity (misc). Dates, times, abstract concepts, adjectives, and verbs are not entities.

Example 1: Sitting as a Liberal Party of Canada Member of Parliament (MP) for Niagara Falls, she joined the Canadian Cabinet after the Liberals defeated the 
Progressive Conservative Party of Canada government of John Diefenbaker in the 1963 Canadian federal election.

Answer:
1. Liberal Party of Canada | True | as it is a political party (politicalparty)
2. Parliament | True | as it is an organisation (organisation)
3. Niagara Falls | True | as it is a location (location)
4. Canadian Cabinet | True | as it is a political entity (misc)
5. Liberals | True | as it is a political group by not the party name (misc)
6. Progressive Conservative Party of Canada | True | as it is a political party (politicalparty)
7. government | False | as it is not actually an entity in this sentence
8. John Diefenbaker | True | as it is a politician (politician)
9. 1963 Canadian federal election | True | as it is an election (election)

Example 2: The MRE took part to the consolidation of The Olive Tree as a joint electoral list both for the
2004 European Parliament election and the 2006 Italian general election, along with the Democrats of the Left
and Democracy is Freedom - The Daisy.

Answer:
1. MRE | True | as it is a political party (politicalparty)
2. consolidation | False | as it is an action
3. The Olive Tree | True | as it is a group or organisation (organisation)
4. 2004 European Parliament election | True | as it is an election (election)
5. 2006 Italian general election | True | as it is an election (election)
6. Democrats of the Left | True | as it is a political party (politicalparty)
7. Democracy is Freedom - The Daisy | True | as it is an political party (politicalparty)

Q. Given the paragraph below, identify a list of possible entities and for each entry explain why it either is or is not an entity.

Paragraph: Only then will 2012 Egyptian presidential election be held , "" no later than 30 June 2012 "" according to Mohamed Hussein Tantawi ' s statement .
","1. 2012 Egyptian presidential election | True | as it is an election (election)
2. 30 June 2012 | False | as it is a date, not an entity
3. Mohamed Hussein Tantawi | True | as it is a politician (politician)
4. statement | False | as it is not an entity, it's an abstract concept.","[0, 0, 0, 25, 26, 26, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 58, 58, 0, 0, 0, 0]"
"['In', '1278', 'the', 'Lithuanians', 'again', 'invaded', 'Lublin', ',', 'and', 'they', 'clashed', 'with', 'Leszek', 'II', ""'s"", 'army', 'at', 'the', 'Battle', 'of', 'Łuków', '.']","
Dfn: An entity is a person (person), organisation (organisation), politician (politician), political party (politicalparty), event (event), election (election), 
country (country), location (location) or other political entity (misc). Dates, times, abstract concepts, adjectives, and verbs are not entities.

Example 1: Sitting as a Liberal Party of Canada Member of Parliament (MP) for Niagara Falls, she joined the Canadian Cabinet after the Liberals defeated the 
Progressive Conservative Party of Canada government of John Diefenbaker in the 1963 Canadian federal election.

Answer:
1. Liberal Party of Canada | True | as it is a political party (politicalparty)
2. Parliament | True | as it is an organisation (organisation)
3. Niagara Falls | True | as it is a location (location)
4. Canadian Cabinet | True | as it is a political entity (misc)
5. Liberals | True | as it is a political group by not the party name (misc)
6. Progressive Conservative Party of Canada | True | as it is a political party (politicalparty)
7. government | False | as it is not actually an entity in this sentence
8. John Diefenbaker | True | as it is a politician (politician)
9. 1963 Canadian federal election | True | as it is an election (election)

Example 2: The MRE took part to the consolidation of The Olive Tree as a joint electoral list both for the
2004 European Parliament election and the 2006 Italian general election, along with the Democrats of the Left
and Democracy is Freedom - The Daisy.

Answer:
1. MRE | True | as it is a political party (politicalparty)
2. consolidation | False | as it is an action
3. The Olive Tree | True | as it is a group or organisation (organisation)
4. 2004 European Parliament election | True | as it is an election (election)
5. 2006 Italian general election | True | as it is an election (election)
6. Democrats of the Left | True | as it is a political party (politicalparty)
7. Democracy is Freedom - The Daisy | True | as it is an political party (politicalparty)

Q. Given the paragraph below, identify a list of possible entities and for each entry explain why it either is or is not an entity.

Paragraph: In 1278 the Lithuanians again invaded Lublin , and they clashed with Leszek II 's army at the Battle of Łuków .
","1. 1278 | False | as it is a date
2. Lithuanians | True | as it is a group of people representing a country (country)
3. Lublin | True | as it is a location (location)
4. Leszek II | True | as it is a politician (politician)
5. army | True | as it is an organisation (organisation)
6. Battle of Łuków | True | as it is an event (event)","[0, 0, 0, 21, 0, 0, 35, 0, 0, 0, 0, 0, 57, 58, 0, 0, 0, 0, 29, 30, 30, 0]"
"['Fortier', 'was', 'a', 'Progressive', 'Conservative', 'candidate', 'in', 'the', 'Montreal-area', 'riding', 'of', 'Laval', 'West', 'during', 'the', '2000', 'Canadian', 'federal', 'election', 'placing', 'fourth', '.']","
Dfn: An entity is a person (person), organisation (organisation), politician (politician), political party (politicalparty), event (event), election (election), 
country (country), location (location) or other political entity (misc). Dates, times, abstract concepts, adjectives, and verbs are not entities.

Example 1: Sitting as a Liberal Party of Canada Member of Parliament (MP) for Niagara Falls, she joined the Canadian Cabinet after the Liberals defeated the 
Progressive Conservative Party of Canada government of John Diefenbaker in the 1963 Canadian federal election.

Answer:
1. Liberal Party of Canada | True | as it is a political party (politicalparty)
2. Parliament | True | as it is an organisation (organisation)
3. Niagara Falls | True | as it is a location (location)
4. Canadian Cabinet | True | as it is a political entity (misc)
5. Liberals | True | as it is a political group by not the party name (misc)
6. Progressive Conservative Party of Canada | True | as it is a political party (politicalparty)
7. government | False | as it is not actually an entity in this sentence
8. John Diefenbaker | True | as it is a politician (politician)
9. 1963 Canadian federal election | True | as it is an election (election)

Example 2: The MRE took part to the consolidation of The Olive Tree as a joint electoral list both for the
2004 European Parliament election and the 2006 Italian general election, along with the Democrats of the Left
and Democracy is Freedom - The Daisy.

Answer:
1. MRE | True | as it is a political party (politicalparty)
2. consolidation | False | as it is an action
3. The Olive Tree | True | as it is a group or organisation (organisation)
4. 2004 European Parliament election | True | as it is an election (election)
5. 2006 Italian general election | True | as it is an election (election)
6. Democrats of the Left | True | as it is a political party (politicalparty)
7. Democracy is Freedom - The Daisy | True | as it is an political party (politicalparty)

Q. Given the paragraph below, identify a list of possible entities and for each entry explain why it either is or is not an entity.

Paragraph: Fortier was a Progressive Conservative candidate in the Montreal-area riding of Laval West during the 2000 Canadian federal election placing fourth .
","1. Fortier | True | as it is a person (person), likely a politician (politician)
2. Progressive Conservative | True | as it is a political party (politicalparty)
3. Montreal-area | True | as it is a location (location)
4. Laval West | True | as it is a location (location), specifically a riding or electoral district
5. 2000 Canadian federal election | True | as it is an election (election)
6. placing fourth | False | as it is a description of the outcome, not an entity.","[51, 0, 0, 55, 56, 0, 0, 0, 35, 0, 0, 35, 36, 0, 0, 25, 26, 26, 26, 0, 0, 0]"
"['He', 'later', 'served', 'as', 'an', 'advisor', 'to', 'the', 'first', 'four', 'presidents', 'of', 'the', 'new', 'Philippine', 'Republic', 'after', 'the', 'country', ""'s"", 'independence', 'in', '1946', ',', 'serving', 'as', 'special', 'adviser', 'of', 'foreign', 'affairs', 'to', 'Manuel', 'Roxas', '.']","
Dfn: An entity is a person (person), organisation (organisation), politician (politician), political party (politicalparty), event (event), election (election), 
country (country), location (location) or other political entity (misc). Dates, times, abstract concepts, adjectives, and verbs are not entities.

Example 1: Sitting as a Liberal Party of Canada Member of Parliament (MP) for Niagara Falls, she joined the Canadian Cabinet after the Liberals defeated the 
Progressive Conservative Party of Canada government of John Diefenbaker in the 1963 Canadian federal election.

Answer:
1. Liberal Party of Canada | True | as it is a political party (politicalparty)
2. Parliament | True | as it is an organisation (organisation)
3. Niagara Falls | True | as it is a location (location)
4. Canadian Cabinet | True | as it is a political entity (misc)
5. Liberals | True | as it is a political group by not the party name (misc)
6. Progressive Conservative Party of Canada | True | as it is a political party (politicalparty)
7. government | False | as it is not actually an entity in this sentence
8. John Diefenbaker | True | as it is a politician (politician)
9. 1963 Canadian federal election | True | as it is an election (election)

Example 2: The MRE took part to the consolidation of The Olive Tree as a joint electoral list both for the
2004 European Parliament election and the 2006 Italian general election, along with the Democrats of the Left
and Democracy is Freedom - The Daisy.

Answer:
1. MRE | True | as it is a political party (politicalparty)
2. consolidation | False | as it is an action
3. The Olive Tree | True | as it is a group or organisation (organisation)
4. 2004 European Parliament election | True | as it is an election (election)
5. 2006 Italian general election | True | as it is an election (election)
6. Democrats of the Left | True | as it is a political party (politicalparty)
7. Democracy is Freedom - The Daisy | True | as it is an political party (politicalparty)

Q. Given the paragraph below, identify a list of possible entities and for each entry explain why it either is or is not an entity.

Paragraph: He later served as an advisor to the first four presidents of the new Philippine Republic after the country 's independence in 1946 , serving as special adviser of foreign affairs to Manuel Roxas .
","1. Advisor | True | as it is a person (person), although not specifically named in the text, the role of an advisor implies a person
2. first four presidents of the new Philippine Republic | True | as they are politicians (politician) although not specifically named in the text
3. the new Philippine Republic | True | as it is a country (country)
4. country's independence | False | as it is an event but not a named event, thus not an entity
5. 1946 | False | as it is a date
6. special adviser of foreign affairs | True | as it is a person (person), although not specifically named in the text, the role of a special adviser implies a person
7. Manuel Roxas | True | as it is a politician (politician)","[0, 0, 0, 0, 0, 51, 0, 0, 57, 58, 58, 58, 21, 22, 22, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 52, 52, 52, 52, 0, 57, 58, 0]"
"['Tang', 'was', 'educated', 'at', 'the', 'Chinese', 'University', 'of', 'Hong', 'Kong', 'and', 'received', 'a', 'Bachelor', ""'s"", 'degree', 'in', 'Social', 'Science', 'in', '1987', '.']","
Dfn: An entity is a person (person), organisation (organisation), politician (politician), political party (politicalparty), event (event), election (election), 
country (country), location (location) or other political entity (misc). Dates, times, abstract concepts, adjectives, and verbs are not entities.

Example 1: Sitting as a Liberal Party of Canada Member of Parliament (MP) for Niagara Falls, she joined the Canadian Cabinet after the Liberals defeated the 
Progressive Conservative Party of Canada government of John Diefenbaker in the 1963 Canadian federal election.

Answer:
1. Liberal Party of Canada | True | as it is a political party (politicalparty)
2. Parliament | True | as it is an organisation (organisation)
3. Niagara Falls | True | as it is a location (location)
4. Canadian Cabinet | True | as it is a political entity (misc)
5. Liberals | True | as it is a political group by not the party name (misc)
6. Progressive Conservative Party of Canada | True | as it is a political party (politicalparty)
7. government | False | as it is not actually an entity in this sentence
8. John Diefenbaker | True | as it is a politician (politician)
9. 1963 Canadian federal election | True | as it is an election (election)

Example 2: The MRE took part to the consolidation of The Olive Tree as a joint electoral list both for the
2004 European Parliament election and the 2006 Italian general election, along with the Democrats of the Left
and Democracy is Freedom - The Daisy.

Answer:
1. MRE | True | as it is a political party (politicalparty)
2. consolidation | False | as it is an action
3. The Olive Tree | True | as it is a group or organisation (organisation)
4. 2004 European Parliament election | True | as it is an election (election)
5. 2006 Italian general election | True | as it is an election (election)
6. Democrats of the Left | True | as it is a political party (politicalparty)
7. Democracy is Freedom - The Daisy | True | as it is an political party (politicalparty)

Q. Given the paragraph below, identify a list of possible entities and for each entry explain why it either is or is not an entity.

Paragraph: Tang was educated at the Chinese University of Hong Kong and received a Bachelor 's degree in Social Science in 1987 .
","1. Tang | True | as it is a person (person), assuming it refers to a person given the context
2. Chinese University of Hong Kong | True | as it is an organisation (organisation)
3. Bachelor 's degree | False | as it is an academic degree, not an entity as defined
4. Social Science | False | as it is an academic discipline, not an entity as defined
5. 1987 | False | as it is a date, not an entity as defined","[51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['The', 'Pilgrims', 'or', 'Pilgrim', 'Fathers', 'were', 'the', 'English', 'settlers', 'who', 'established', 'the', 'Plymouth', 'Colony', 'in', 'Plymouth', ',', 'Massachusetts', '.']","
Dfn: An entity is a person (person), organisation (organisation), politician (politician), political party (politicalparty), event (event), election (election), 
country (country), location (location) or other political entity (misc). Dates, times, abstract concepts, adjectives, and verbs are not entities.

Example 1: Sitting as a Liberal Party of Canada Member of Parliament (MP) for Niagara Falls, she joined the Canadian Cabinet after the Liberals defeated the 
Progressive Conservative Party of Canada government of John Diefenbaker in the 1963 Canadian federal election.

Answer:
1. Liberal Party of Canada | True | as it is a political party (politicalparty)
2. Parliament | True | as it is an organisation (organisation)
3. Niagara Falls | True | as it is a location (location)
4. Canadian Cabinet | True | as it is a political entity (misc)
5. Liberals | True | as it is a political group by not the party name (misc)
6. Progressive Conservative Party of Canada | True | as it is a political party (politicalparty)
7. government | False | as it is not actually an entity in this sentence
8. John Diefenbaker | True | as it is a politician (politician)
9. 1963 Canadian federal election | True | as it is an election (election)

Example 2: The MRE took part to the consolidation of The Olive Tree as a joint electoral list both for the
2004 European Parliament election and the 2006 Italian general election, along with the Democrats of the Left
and Democracy is Freedom - The Daisy.

Answer:
1. MRE | True | as it is a political party (politicalparty)
2. consolidation | False | as it is an action
3. The Olive Tree | True | as it is a group or organisation (organisation)
4. 2004 European Parliament election | True | as it is an election (election)
5. 2006 Italian general election | True | as it is an election (election)
6. Democrats of the Left | True | as it is a political party (politicalparty)
7. Democracy is Freedom - The Daisy | True | as it is an political party (politicalparty)

Q. Given the paragraph below, identify a list of possible entities and for each entry explain why it either is or is not an entity.

Paragraph: The Pilgrims or Pilgrim Fathers were the English settlers who established the Plymouth Colony in Plymouth , Massachusetts .
","1. The Pilgrims or Pilgrim Fathers | True | as they are a group of people (persons)
2. English settlers | True | as they are a group of people (persons)
3. Plymouth Colony | True | as it is an organization (organization)
4. Plymouth | True | as it is a location (location)
5. Massachusetts | True | as it is a location (location)","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 35, 0]"
"['Carolina', 'Cotton', 'was', 'later', 'purchased', 'by', 'Marshall', 'Field', '.']","
Dfn: An entity is a person (person), organisation (organisation), politician (politician), political party (politicalparty), event (event), election (election), 
country (country), location (location) or other political entity (misc). Dates, times, abstract concepts, adjectives, and verbs are not entities.

Example 1: Sitting as a Liberal Party of Canada Member of Parliament (MP) for Niagara Falls, she joined the Canadian Cabinet after the Liberals defeated the 
Progressive Conservative Party of Canada government of John Diefenbaker in the 1963 Canadian federal election.

Answer:
1. Liberal Party of Canada | True | as it is a political party (politicalparty)
2. Parliament | True | as it is an organisation (organisation)
3. Niagara Falls | True | as it is a location (location)
4. Canadian Cabinet | True | as it is a political entity (misc)
5. Liberals | True | as it is a political group by not the party name (misc)
6. Progressive Conservative Party of Canada | True | as it is a political party (politicalparty)
7. government | False | as it is not actually an entity in this sentence
8. John Diefenbaker | True | as it is a politician (politician)
9. 1963 Canadian federal election | True | as it is an election (election)

Example 2: The MRE took part to the consolidation of The Olive Tree as a joint electoral list both for the
2004 European Parliament election and the 2006 Italian general election, along with the Democrats of the Left
and Democracy is Freedom - The Daisy.

Answer:
1. MRE | True | as it is a political party (politicalparty)
2. consolidation | False | as it is an action
3. The Olive Tree | True | as it is a group or organisation (organisation)
4. 2004 European Parliament election | True | as it is an election (election)
5. 2006 Italian general election | True | as it is an election (election)
6. Democrats of the Left | True | as it is a political party (politicalparty)
7. Democracy is Freedom - The Daisy | True | as it is an political party (politicalparty)

Q. Given the paragraph below, identify a list of possible entities and for each entry explain why it either is or is not an entity.

Paragraph: Carolina Cotton was later purchased by Marshall Field .
","1. Carolina Cotton | True | as it is an organisation (organisation), it could be a company or a brand.
2. purchased | False | as it is a verb, an action performed.
3. Marshall Field | True | as it is an organisation (organisation), it could be a company or a brand.","[0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['The', 'OL', 'established', 'influence', 'within', 'some', 'of', 'the', 'established', 'civil', 'rights', 'organizations', ',', 'including', 'the', 'Southern', 'Christian', 'Leadership', 'Conference', 'and', 'the', 'Southern', 'Conference', 'Educational', 'Fund', ',', 'which', 'had', 'been', 'under', 'the', 'influence', 'of', 'the', 'Moscow-oriented', 'Communist', 'Party', 'USA', '.']","
Dfn: An entity is a person (person), organisation (organisation), politician (politician), political party (politicalparty), event (event), election (election), 
country (country), location (location) or other political entity (misc). Dates, times, abstract concepts, adjectives, and verbs are not entities.

Example 1: Sitting as a Liberal Party of Canada Member of Parliament (MP) for Niagara Falls, she joined the Canadian Cabinet after the Liberals defeated the 
Progressive Conservative Party of Canada government of John Diefenbaker in the 1963 Canadian federal election.

Answer:
1. Liberal Party of Canada | True | as it is a political party (politicalparty)
2. Parliament | True | as it is an organisation (organisation)
3. Niagara Falls | True | as it is a location (location)
4. Canadian Cabinet | True | as it is a political entity (misc)
5. Liberals | True | as it is a political group by not the party name (misc)
6. Progressive Conservative Party of Canada | True | as it is a political party (politicalparty)
7. government | False | as it is not actually an entity in this sentence
8. John Diefenbaker | True | as it is a politician (politician)
9. 1963 Canadian federal election | True | as it is an election (election)

Example 2: The MRE took part to the consolidation of The Olive Tree as a joint electoral list both for the
2004 European Parliament election and the 2006 Italian general election, along with the Democrats of the Left
and Democracy is Freedom - The Daisy.

Answer:
1. MRE | True | as it is a political party (politicalparty)
2. consolidation | False | as it is an action
3. The Olive Tree | True | as it is a group or organisation (organisation)
4. 2004 European Parliament election | True | as it is an election (election)
5. 2006 Italian general election | True | as it is an election (election)
6. Democrats of the Left | True | as it is a political party (politicalparty)
7. Democracy is Freedom - The Daisy | True | as it is an political party (politicalparty)

Q. Given the paragraph below, identify a list of possible entities and for each entry explain why it either is or is not an entity.

Paragraph: The OL established influence within some of the established civil rights organizations , including the Southern Christian Leadership Conference and the Southern Conference Educational Fund , which had been under the influence of the Moscow-oriented Communist Party USA .
","1. OL | True | as it is a political party or organization (organization)
2. established civil rights organizations | True | as it is a group or organization (organization)
3. Southern Christian Leadership Conference | True | as it is an organization (organization)
4. Southern Conference Educational Fund | True | as it is an organization (organization)
5. influence | False | as it is a verb and not an entity
6. Moscow-oriented Communist Party USA | True | as it is a political party (politicalparty)
7. Moscow | True | as it is a location (location)
8. Communist Party USA | True | as it is a political party (politicalparty)","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 55, 56, 56, 0]"
"['On', '26', 'July', '2013', ',', 'Network', 'Ten', 'announced', 'a', 'new', 'drama', 'project', 'from', 'Endemol', 'Australia', 'named', '""', 'Party', 'Tricks', '""', ',', 'a', 'six-part', 'drama', 'series', 'by', 'the', 'producers', 'of', '""', 'Offspring', '""', ',', '""', 'Puberty', 'Blues', '""', ',', '""', 'The', 'Secret', 'Life', 'of', 'Us', '""', 'and', '""', 'Tangle', '""', ';', 'John', 'Edwards', 'and', 'Imogen', 'Banks', '.']","
Dfn: An entity is a person (person), organisation (organisation), politician (politician), political party (politicalparty), event (event), election (election), 
country (country), location (location) or other political entity (misc). Dates, times, abstract concepts, adjectives, and verbs are not entities.

Example 1: Sitting as a Liberal Party of Canada Member of Parliament (MP) for Niagara Falls, she joined the Canadian Cabinet after the Liberals defeated the 
Progressive Conservative Party of Canada government of John Diefenbaker in the 1963 Canadian federal election.

Answer:
1. Liberal Party of Canada | True | as it is a political party (politicalparty)
2. Parliament | True | as it is an organisation (organisation)
3. Niagara Falls | True | as it is a location (location)
4. Canadian Cabinet | True | as it is a political entity (misc)
5. Liberals | True | as it is a political group by not the party name (misc)
6. Progressive Conservative Party of Canada | True | as it is a political party (politicalparty)
7. government | False | as it is not actually an entity in this sentence
8. John Diefenbaker | True | as it is a politician (politician)
9. 1963 Canadian federal election | True | as it is an election (election)

Example 2: The MRE took part to the consolidation of The Olive Tree as a joint electoral list both for the
2004 European Parliament election and the 2006 Italian general election, along with the Democrats of the Left
and Democracy is Freedom - The Daisy.

Answer:
1. MRE | True | as it is a political party (politicalparty)
2. consolidation | False | as it is an action
3. The Olive Tree | True | as it is a group or organisation (organisation)
4. 2004 European Parliament election | True | as it is an election (election)
5. 2006 Italian general election | True | as it is an election (election)
6. Democrats of the Left | True | as it is a political party (politicalparty)
7. Democracy is Freedom - The Daisy | True | as it is an political party (politicalparty)

Q. Given the paragraph below, identify a list of possible entities and for each entry explain why it either is or is not an entity.

Paragraph: On 26 July 2013 , Network Ten announced a new drama project from Endemol Australia named "" Party Tricks "" , a six-part drama series by the producers of "" Offspring "" , "" Puberty Blues "" , "" The Secret Life of Us "" and "" Tangle "" ; John Edwards and Imogen Banks .
","1. 26 July 2013 | False | as it is a date, not an entity
2. Network Ten | True | as it is an organisation (organisation)
3. Endemol Australia | True | as it is an organisation (organisation)
4. Party Tricks | True | as it is an event, in this context, a TV drama series (event)
5. Offspring | True | as it is a TV series, which can be considered an event (event)
6. Puberty Blues | True | as it is a TV series, which can be considered an event (event)
7. The Secret Life of Us | True | as it is a TV series, which can be considered an event (event)
8. Tangle | True | as it is a TV series, which can be considered an event (event)
9. John Edwards | True | as it is a person (person), in this context, likely a producer
10. Imogen Banks | True | as it is a person (person), in this context, likely a producer","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 29, 30, 0, 0, 0, 29, 30, 30, 30, 30, 0, 0, 0, 29, 0, 0, 51, 52, 0, 51, 52, 0]"
