id,tokens,prompt,output,ner_tags
0,"['Parties', 'with', 'mainly', 'Eurosceptic', 'views', 'are', 'the', 'ruling', 'United', 'Russia', ',', 'and', 'opposition', 'parties', 'the', 'Communist', 'Party', 'of', 'the', 'Russian', 'Federation', 'and', 'Liberal', 'Democratic', 'Party', 'of', 'Russia', '.']","
Dfn: An entity is a person (person), organisation (organisation), french politician (politician), french political party (politicalparty), event (event), election (election), 
country (country), location (location) or other political entity (misc). Dates, times, abstract concepts, adjectives, and verbs are not entities.

Example 1: In the 2014 European Parliament election in France , the National Front won the elections with 24.85 % of the vote , a swing of 18.55 % , winning 24 seats , up from 3 previously .

Answer:
1. 2014 European Parliament election | True | as it is an election (election)
2. France | True | as it is a country (country)
3. National Front | True | as it is a political party (frenchpoliticalparty)

Example 2: The FN received 33.9 % of the votes in the 2017 French presidential election , making it the largest Eurosceptic party in France .

Answer:
1. FN | True | as it is a political party (frenchpoliticalparty)
2. 2017 French presidential election | True | as it is an election (election)
3. Eurosceptic party | True | as it is a political party (frenchpoliticalparty)
4. France | True | as it is a country (country)

Example 3: The 2017 French presidential election caused a radical shift in French politics , as the prevailing parties of The Republicans and Socialists failed to make it to the second round of voting , with far-right Marine Le Pen and political newcomer Emmanuel Macron instead facing each other .

Answer:
1. 2017 French presidential election | True | as it is an election (election)
2. French politics | False | as it is an abstract concept, not a specific entity
3. The Republicans | True | as it is a political party (frenchpoliticalparty)
4. Socialists | True | as it is a political party (frenchpoliticalparty)
5. far-right | False | as it is an adjective describing a political orientation, not a specific entity
6. Marine Le Pen | True | as she is a French politician (frenchpolitician)
7. Emmanuel Macron | True | as he is a French politician (frenchpolitician)
8. political newcomer | False | as it is an abstract concept, not a specific entity

Q. Given the paragraph below, identify a list of possible entities and for each entry explain why it either is or is not an entity.

Paragraph: Parties with mainly Eurosceptic views are the ruling United Russia , and opposition parties the Communist Party of the Russian Federation and Liberal Democratic Party of Russia .
","1. Eurosceptic views | False | as it is an abstract concept, not a specific entity
2. United Russia | True | as it is a political party (politicalparty)
3. ruling | False | as it is an adjective describing the current status of a party, not a specific entity
4. Communist Party of the Russian Federation | True | as it is a political party (politicalparty)
5. Liberal Democratic Party of Russia | True | as it is a political party (politicalparty)
6. Russia | True | as it is a country (country)","[0, 0, 0, 0, 0, 0, 0, 0, 55, 21, 0, 0, 0, 0, 0, 55, 56, 56, 56, 56, 56, 0, 55, 56, 56, 56, 56, 0]"
1,"['Parties', 'with', 'mainly', 'Eurosceptic', 'views', 'are', 'Serbian', 'Radical', 'Party', ',', 'Democratic', 'Party', 'of', 'Serbia', ',', 'Dveri', ',', 'DJB', 'and', 'the', 'Serbian', 'People', ""'s"", 'Party', 'of', 'Nenad', 'Popović', '.']","
Dfn: An entity is a person (person), organisation (organisation), french politician (politician), french political party (politicalparty), event (event), election (election), 
country (country), location (location) or other political entity (misc). Dates, times, abstract concepts, adjectives, and verbs are not entities.

Example 1: In the 2014 European Parliament election in France , the National Front won the elections with 24.85 % of the vote , a swing of 18.55 % , winning 24 seats , up from 3 previously .

Answer:
1. 2014 European Parliament election | True | as it is an election (election)
2. France | True | as it is a country (country)
3. National Front | True | as it is a political party (frenchpoliticalparty)

Example 2: The FN received 33.9 % of the votes in the 2017 French presidential election , making it the largest Eurosceptic party in France .

Answer:
1. FN | True | as it is a political party (frenchpoliticalparty)
2. 2017 French presidential election | True | as it is an election (election)
3. Eurosceptic party | True | as it is a political party (frenchpoliticalparty)
4. France | True | as it is a country (country)

Example 3: The 2017 French presidential election caused a radical shift in French politics , as the prevailing parties of The Republicans and Socialists failed to make it to the second round of voting , with far-right Marine Le Pen and political newcomer Emmanuel Macron instead facing each other .

Answer:
1. 2017 French presidential election | True | as it is an election (election)
2. French politics | False | as it is an abstract concept, not a specific entity
3. The Republicans | True | as it is a political party (frenchpoliticalparty)
4. Socialists | True | as it is a political party (frenchpoliticalparty)
5. far-right | False | as it is an adjective describing a political orientation, not a specific entity
6. Marine Le Pen | True | as she is a French politician (frenchpolitician)
7. Emmanuel Macron | True | as he is a French politician (frenchpolitician)
8. political newcomer | False | as it is an abstract concept, not a specific entity

Q. Given the paragraph below, identify a list of possible entities and for each entry explain why it either is or is not an entity.

Paragraph: Parties with mainly Eurosceptic views are Serbian Radical Party , Democratic Party of Serbia , Dveri , DJB and the Serbian People 's Party of Nenad Popović .
","1. Serbian Radical Party | True | as it is a political party (politicalparty)
2. Democratic Party of Serbia | True | as it is a political party (politicalparty)
3. Dveri | True | as it is a political party (politicalparty)
4. DJB | True | as it is a political party (politicalparty)
5. Serbian People's Party of Nenad Popović | True | as it is a political party (politicalparty)
6. Eurosceptic views | False | as it is an abstract concept, not a specific entity
7. Nenad Popović | True | as he is a politician (politician), leader of the Serbian People's Party","[0, 0, 0, 0, 0, 0, 55, 56, 56, 0, 55, 56, 56, 56, 0, 55, 0, 55, 0, 0, 0, 0, 0, 0, 0, 57, 58, 0]"
2,"['On', '12', 'April', '2019', 'a', 'new', 'Eurosceptic', 'party', ',', 'the', 'Brexit', 'Party', 'was', 'officially', 'launched', 'by', 'former', 'UK', 'Independence', 'Party', 'Leader', 'Nigel', 'Farage', '.']","
Dfn: An entity is a person (person), organisation (organisation), french politician (politician), french political party (politicalparty), event (event), election (election), 
country (country), location (location) or other political entity (misc). Dates, times, abstract concepts, adjectives, and verbs are not entities.

Example 1: In the 2014 European Parliament election in France , the National Front won the elections with 24.85 % of the vote , a swing of 18.55 % , winning 24 seats , up from 3 previously .

Answer:
1. 2014 European Parliament election | True | as it is an election (election)
2. France | True | as it is a country (country)
3. National Front | True | as it is a political party (frenchpoliticalparty)

Example 2: The FN received 33.9 % of the votes in the 2017 French presidential election , making it the largest Eurosceptic party in France .

Answer:
1. FN | True | as it is a political party (frenchpoliticalparty)
2. 2017 French presidential election | True | as it is an election (election)
3. Eurosceptic party | True | as it is a political party (frenchpoliticalparty)
4. France | True | as it is a country (country)

Example 3: The 2017 French presidential election caused a radical shift in French politics , as the prevailing parties of The Republicans and Socialists failed to make it to the second round of voting , with far-right Marine Le Pen and political newcomer Emmanuel Macron instead facing each other .

Answer:
1. 2017 French presidential election | True | as it is an election (election)
2. French politics | False | as it is an abstract concept, not a specific entity
3. The Republicans | True | as it is a political party (frenchpoliticalparty)
4. Socialists | True | as it is a political party (frenchpoliticalparty)
5. far-right | False | as it is an adjective describing a political orientation, not a specific entity
6. Marine Le Pen | True | as she is a French politician (frenchpolitician)
7. Emmanuel Macron | True | as he is a French politician (frenchpolitician)
8. political newcomer | False | as it is an abstract concept, not a specific entity

Q. Given the paragraph below, identify a list of possible entities and for each entry explain why it either is or is not an entity.

Paragraph: On 12 April 2019 a new Eurosceptic party , the Brexit Party was officially launched by former UK Independence Party Leader Nigel Farage .
","1. 12 April 2019 | False | as it is a date, not an entity
2. Eurosceptic party | True | as it is a political party (misc political entity)
3. Brexit Party | True | as it is a political party (misc political entity)
4. UK Independence Party | True | as it is a political party (misc political entity)
5. Nigel Farage | True | as he is a politician (person)
6. Former | False | as it is an adjective, not an entity
7. Leader | False | as it is a role, not a specific entity.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 52, 0]"
3,"['Page', 'returned', 'to', 'cabinet', 'after', 'the', '1934', 'Australian', 'federal', 'election', ',', 'when', 'the', 'Country', 'Party', 'entered', 'a', 'new', 'coalition', 'with', 'Joseph', 'Lyons', ""'"", 'United', 'Australia', 'Party', '.']","
Dfn: An entity is a person (person), organisation (organisation), french politician (politician), french political party (politicalparty), event (event), election (election), 
country (country), location (location) or other political entity (misc). Dates, times, abstract concepts, adjectives, and verbs are not entities.

Example 1: In the 2014 European Parliament election in France , the National Front won the elections with 24.85 % of the vote , a swing of 18.55 % , winning 24 seats , up from 3 previously .

Answer:
1. 2014 European Parliament election | True | as it is an election (election)
2. France | True | as it is a country (country)
3. National Front | True | as it is a political party (frenchpoliticalparty)

Example 2: The FN received 33.9 % of the votes in the 2017 French presidential election , making it the largest Eurosceptic party in France .

Answer:
1. FN | True | as it is a political party (frenchpoliticalparty)
2. 2017 French presidential election | True | as it is an election (election)
3. Eurosceptic party | True | as it is a political party (frenchpoliticalparty)
4. France | True | as it is a country (country)

Example 3: The 2017 French presidential election caused a radical shift in French politics , as the prevailing parties of The Republicans and Socialists failed to make it to the second round of voting , with far-right Marine Le Pen and political newcomer Emmanuel Macron instead facing each other .

Answer:
1. 2017 French presidential election | True | as it is an election (election)
2. French politics | False | as it is an abstract concept, not a specific entity
3. The Republicans | True | as it is a political party (frenchpoliticalparty)
4. Socialists | True | as it is a political party (frenchpoliticalparty)
5. far-right | False | as it is an adjective describing a political orientation, not a specific entity
6. Marine Le Pen | True | as she is a French politician (frenchpolitician)
7. Emmanuel Macron | True | as he is a French politician (frenchpolitician)
8. political newcomer | False | as it is an abstract concept, not a specific entity

Q. Given the paragraph below, identify a list of possible entities and for each entry explain why it either is or is not an entity.

Paragraph: Page returned to cabinet after the 1934 Australian federal election , when the Country Party entered a new coalition with Joseph Lyons ' United Australia Party .
","1. Page | True | as it is a person (person), likely referring to Earle Page, an Australian politician
2. cabinet | False | as it is an abstract concept, not a specific entity
3. 1934 Australian federal election | True | as it is an election (election)
4. Country Party | True | as it is a political party (politicalparty)
5. new coalition | False | as it is an abstract concept, not a specific entity
6. Joseph Lyons | True | as he is a politician (politician)
7. United Australia Party | True | as it is a political party (politicalparty)","[51, 0, 0, 0, 0, 0, 25, 26, 26, 26, 0, 0, 0, 55, 56, 0, 0, 0, 0, 0, 57, 58, 0, 55, 56, 56, 0]"
4,"['He', 'was', 'the', 'last', 'former', 'Prime', 'Minister', 'to', 'lose', 'his', 'seat', 'until', 'Tony', 'Abbott', 'lost', 'his', 'seat', 'of', 'Warringah', 'in', '2019', 'Australian', 'federal', 'election', ',', 'though', 'John', 'Howard', 'would', 'lose', 'his', 'seat', 'of', 'Bennelong', 'as', 'a', 'sitting', 'Prime', 'Minister', 'in', '2007', 'Australian', 'federal', 'election', '.']","
Dfn: An entity is a person (person), organisation (organisation), french politician (politician), french political party (politicalparty), event (event), election (election), 
country (country), location (location) or other political entity (misc). Dates, times, abstract concepts, adjectives, and verbs are not entities.

Example 1: In the 2014 European Parliament election in France , the National Front won the elections with 24.85 % of the vote , a swing of 18.55 % , winning 24 seats , up from 3 previously .

Answer:
1. 2014 European Parliament election | True | as it is an election (election)
2. France | True | as it is a country (country)
3. National Front | True | as it is a political party (frenchpoliticalparty)

Example 2: The FN received 33.9 % of the votes in the 2017 French presidential election , making it the largest Eurosceptic party in France .

Answer:
1. FN | True | as it is a political party (frenchpoliticalparty)
2. 2017 French presidential election | True | as it is an election (election)
3. Eurosceptic party | True | as it is a political party (frenchpoliticalparty)
4. France | True | as it is a country (country)

Example 3: The 2017 French presidential election caused a radical shift in French politics , as the prevailing parties of The Republicans and Socialists failed to make it to the second round of voting , with far-right Marine Le Pen and political newcomer Emmanuel Macron instead facing each other .

Answer:
1. 2017 French presidential election | True | as it is an election (election)
2. French politics | False | as it is an abstract concept, not a specific entity
3. The Republicans | True | as it is a political party (frenchpoliticalparty)
4. Socialists | True | as it is a political party (frenchpoliticalparty)
5. far-right | False | as it is an adjective describing a political orientation, not a specific entity
6. Marine Le Pen | True | as she is a French politician (frenchpolitician)
7. Emmanuel Macron | True | as he is a French politician (frenchpolitician)
8. political newcomer | False | as it is an abstract concept, not a specific entity

Q. Given the paragraph below, identify a list of possible entities and for each entry explain why it either is or is not an entity.

Paragraph: He was the last former Prime Minister to lose his seat until Tony Abbott lost his seat of Warringah in 2019 Australian federal election , though John Howard would lose his seat of Bennelong as a sitting Prime Minister in 2007 Australian federal election .
","1. He | False | as it is a pronoun, not a specific entity
2. former Prime Minister | True | as it is a political entity (misc)
3. Tony Abbott | True | as he is a politician (person)
4. Warringah | True | as it is a location (location)
5. 2019 Australian federal election | True | as it is an election (election)
6. though | False | as it is a conjunction, not an entity
7. John Howard | True | as he is a politician (person)
8. Bennelong | True | as it is a location (location)
9. sitting Prime Minister | True | as it is a political entity (misc)
10. 2007 Australian federal election | True | as it is an election (election)","[0, 0, 0, 0, 41, 42, 42, 0, 0, 0, 0, 0, 51, 52, 0, 0, 0, 0, 35, 0, 25, 26, 26, 26, 0, 0, 51, 52, 0, 0, 0, 0, 0, 35, 0, 0, 41, 42, 42, 0, 25, 26, 26, 26, 0]"
5,"['Zappa', 'set', 'excerpts', 'from', 'the', 'PMRC', 'hearings', 'to', 'Synclavier', 'music', 'in', 'his', 'composition', 'Porn', 'Wars', 'on', 'the', '1985', 'album', 'Frank', 'Zappa', 'Meets', 'the', 'Mothers', 'of', 'Prevention', ',', 'and', 'the', 'full', 'recording', 'was', 'released', 'in', '2010', 'as', 'Congress', 'Shall', 'Make', 'No', 'Law', '...', 'Zappa', 'is', 'heard', 'interacting', 'with', 'Senators', 'Fritz', 'Hollings', ',', 'Slade', 'Gorton', 'and', 'Al', 'Gore', '.']","
Dfn: An entity is a person (person), organisation (organisation), french politician (politician), french political party (politicalparty), event (event), election (election), 
country (country), location (location) or other political entity (misc). Dates, times, abstract concepts, adjectives, and verbs are not entities.

Example 1: In the 2014 European Parliament election in France , the National Front won the elections with 24.85 % of the vote , a swing of 18.55 % , winning 24 seats , up from 3 previously .

Answer:
1. 2014 European Parliament election | True | as it is an election (election)
2. France | True | as it is a country (country)
3. National Front | True | as it is a political party (frenchpoliticalparty)

Example 2: The FN received 33.9 % of the votes in the 2017 French presidential election , making it the largest Eurosceptic party in France .

Answer:
1. FN | True | as it is a political party (frenchpoliticalparty)
2. 2017 French presidential election | True | as it is an election (election)
3. Eurosceptic party | True | as it is a political party (frenchpoliticalparty)
4. France | True | as it is a country (country)

Example 3: The 2017 French presidential election caused a radical shift in French politics , as the prevailing parties of The Republicans and Socialists failed to make it to the second round of voting , with far-right Marine Le Pen and political newcomer Emmanuel Macron instead facing each other .

Answer:
1. 2017 French presidential election | True | as it is an election (election)
2. French politics | False | as it is an abstract concept, not a specific entity
3. The Republicans | True | as it is a political party (frenchpoliticalparty)
4. Socialists | True | as it is a political party (frenchpoliticalparty)
5. far-right | False | as it is an adjective describing a political orientation, not a specific entity
6. Marine Le Pen | True | as she is a French politician (frenchpolitician)
7. Emmanuel Macron | True | as he is a French politician (frenchpolitician)
8. political newcomer | False | as it is an abstract concept, not a specific entity

Q. Given the paragraph below, identify a list of possible entities and for each entry explain why it either is or is not an entity.

Paragraph: Zappa set excerpts from the PMRC hearings to Synclavier music in his composition Porn Wars on the 1985 album Frank Zappa Meets the Mothers of Prevention , and the full recording was released in 2010 as Congress Shall Make No Law ... Zappa is heard interacting with Senators Fritz Hollings , Slade Gorton and Al Gore .
","1. Zappa | True | as it refers to Frank Zappa, an American musician and composer (person)
2. PMRC hearings | True | as it refers to the Parents Music Resource Center hearings, an event (event)
3. Synclavier music | False | as it is a type of music, not a specific entity
4. Porn Wars | True | as it is a composition by Frank Zappa (event)
5. 1985 album Frank Zappa Meets the Mothers of Prevention | True | as it is a specific album by Frank Zappa (event)
6. Congress Shall Make No Law | True | as it is an album by Frank Zappa (event)
7. 2010 | False | as it is a date, not a specific entity
8. Senators | False | as it is a general term for a member of a legislative body, not a specific entity
9. Fritz Hollings | True | as he is a former U.S. Senator (person)
10. Slade Gorton | True | as he is a former U.S. Senator (person)
11. Al Gore | True | as he is a former U.S. Vice President (person)","[51, 0, 0, 0, 0, 29, 30, 0, 0, 0, 0, 0, 0, 29, 30, 0, 0, 29, 30, 30, 30, 30, 30, 30, 30, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 30, 30, 30, 30, 0, 0, 0, 0, 0, 0, 0, 51, 52, 0, 51, 52, 0, 51, 52, 0]"
6,"['The', 'Walwari', 'has', 'one', 'deputy', ',', 'Christiane', 'Taubira', ',', 'and', 'the', 'PSG', 'has', 'one', 'deputy', ',', 'Chantal', 'Berthelot', ',', 'who', 'defeated', 'long-time', 'UMP', 'incumbent', 'Léon', 'Bertrand', '.']","
Dfn: An entity is a person (person), organisation (organisation), french politician (politician), french political party (politicalparty), event (event), election (election), 
country (country), location (location) or other political entity (misc). Dates, times, abstract concepts, adjectives, and verbs are not entities.

Example 1: In the 2014 European Parliament election in France , the National Front won the elections with 24.85 % of the vote , a swing of 18.55 % , winning 24 seats , up from 3 previously .

Answer:
1. 2014 European Parliament election | True | as it is an election (election)
2. France | True | as it is a country (country)
3. National Front | True | as it is a political party (frenchpoliticalparty)

Example 2: The FN received 33.9 % of the votes in the 2017 French presidential election , making it the largest Eurosceptic party in France .

Answer:
1. FN | True | as it is a political party (frenchpoliticalparty)
2. 2017 French presidential election | True | as it is an election (election)
3. Eurosceptic party | True | as it is a political party (frenchpoliticalparty)
4. France | True | as it is a country (country)

Example 3: The 2017 French presidential election caused a radical shift in French politics , as the prevailing parties of The Republicans and Socialists failed to make it to the second round of voting , with far-right Marine Le Pen and political newcomer Emmanuel Macron instead facing each other .

Answer:
1. 2017 French presidential election | True | as it is an election (election)
2. French politics | False | as it is an abstract concept, not a specific entity
3. The Republicans | True | as it is a political party (frenchpoliticalparty)
4. Socialists | True | as it is a political party (frenchpoliticalparty)
5. far-right | False | as it is an adjective describing a political orientation, not a specific entity
6. Marine Le Pen | True | as she is a French politician (frenchpolitician)
7. Emmanuel Macron | True | as he is a French politician (frenchpolitician)
8. political newcomer | False | as it is an abstract concept, not a specific entity

Q. Given the paragraph below, identify a list of possible entities and for each entry explain why it either is or is not an entity.

Paragraph: The Walwari has one deputy , Christiane Taubira , and the PSG has one deputy , Chantal Berthelot , who defeated long-time UMP incumbent Léon Bertrand .
","1. Walwari | True | as it is a political party (frenchpoliticalparty)
2. deputy | False | as it is a general term for a position, not a specific entity
3. Christiane Taubira | True | as she is a French politician (frenchpolitician)
4. PSG | True | as it is a political party (frenchpoliticalparty)
5. Chantal Berthelot | True | as she is a French politician (frenchpolitician)
6. long-time | False | as it is an adjective describing the length of time in a position, not a specific entity
7. UMP | True | as it is a political party (frenchpoliticalparty)
8. incumbent | False | as it is a general term for a current position holder, not a specific entity
9. Léon Bertrand | True | as he is a French politician (frenchpolitician)","[0, 81, 0, 0, 0, 0, 79, 80, 0, 0, 0, 81, 0, 0, 0, 0, 79, 80, 0, 0, 0, 0, 81, 0, 79, 80, 0]"
7,"['In', 'late', 'December', '2011', ',', 'President', 'Barack', 'Obama', 'nominated', 'Jeremy', 'C.', 'Stein', ',', 'a', 'Harvard', 'University', 'finance', 'professor', 'and', 'a', 'Democrat', ',', 'and', 'Jerome', 'Powell', ',', 'formerly', 'of', 'Dillon', 'Read', ',', 'Bankers', 'Trust']","
Dfn: An entity is a person (person), organisation (organisation), french politician (politician), french political party (politicalparty), event (event), election (election), 
country (country), location (location) or other political entity (misc). Dates, times, abstract concepts, adjectives, and verbs are not entities.

Example 1: In the 2014 European Parliament election in France , the National Front won the elections with 24.85 % of the vote , a swing of 18.55 % , winning 24 seats , up from 3 previously .

Answer:
1. 2014 European Parliament election | True | as it is an election (election)
2. France | True | as it is a country (country)
3. National Front | True | as it is a political party (frenchpoliticalparty)

Example 2: The FN received 33.9 % of the votes in the 2017 French presidential election , making it the largest Eurosceptic party in France .

Answer:
1. FN | True | as it is a political party (frenchpoliticalparty)
2. 2017 French presidential election | True | as it is an election (election)
3. Eurosceptic party | True | as it is a political party (frenchpoliticalparty)
4. France | True | as it is a country (country)

Example 3: The 2017 French presidential election caused a radical shift in French politics , as the prevailing parties of The Republicans and Socialists failed to make it to the second round of voting , with far-right Marine Le Pen and political newcomer Emmanuel Macron instead facing each other .

Answer:
1. 2017 French presidential election | True | as it is an election (election)
2. French politics | False | as it is an abstract concept, not a specific entity
3. The Republicans | True | as it is a political party (frenchpoliticalparty)
4. Socialists | True | as it is a political party (frenchpoliticalparty)
5. far-right | False | as it is an adjective describing a political orientation, not a specific entity
6. Marine Le Pen | True | as she is a French politician (frenchpolitician)
7. Emmanuel Macron | True | as he is a French politician (frenchpolitician)
8. political newcomer | False | as it is an abstract concept, not a specific entity

Q. Given the paragraph below, identify a list of possible entities and for each entry explain why it either is or is not an entity.

Paragraph: In late December 2011 , President Barack Obama nominated Jeremy C. Stein , a Harvard University finance professor and a Democrat , and Jerome Powell , formerly of Dillon Read , Bankers Trust
","1. late December 2011 | False | as it is a date, not an entity
2. President Barack Obama | True | as he is a person (politician)
3. Jeremy C. Stein | True | as he is a person (politician)
4. Harvard University | True | as it is an organization (organisation)
5. finance professor | False | as it is a job title, not a specific entity
6. Democrat | True | as it is a political party (politicalparty)
7. Jerome Powell | True | as he is a person (politician)
8. Dillon Read | True | as it is an organization (organisation)
9. Bankers Trust | True | as it is an organization (organisation)","[0, 0, 0, 0, 0, 57, 58, 58, 0, 57, 58, 58, 0, 0, 0, 0, 0, 0, 0, 0, 55, 0, 0, 57, 58, 0, 0, 0, 0, 0, 0, 0, 0]"
8,"['Westerwelle', 'stepped', 'down', 'as', 'party', 'leader', 'following', 'the', '2011', 'state', 'elections', ',', 'in', 'which', 'the', 'party', 'was', 'wiped', 'out', 'in', '2011', 'Saxony-Anhalt', 'state', 'election', 'and', '2011', 'Rhineland-Palatinate', 'state', 'election', 'and', 'lost', 'half', 'its', 'seats', 'in', '2011', 'Baden-Württemberg', 'state', 'election', '.']","
Dfn: An entity is a person (person), organisation (organisation), french politician (politician), french political party (politicalparty), event (event), election (election), 
country (country), location (location) or other political entity (misc). Dates, times, abstract concepts, adjectives, and verbs are not entities.

Example 1: In the 2014 European Parliament election in France , the National Front won the elections with 24.85 % of the vote , a swing of 18.55 % , winning 24 seats , up from 3 previously .

Answer:
1. 2014 European Parliament election | True | as it is an election (election)
2. France | True | as it is a country (country)
3. National Front | True | as it is a political party (frenchpoliticalparty)

Example 2: The FN received 33.9 % of the votes in the 2017 French presidential election , making it the largest Eurosceptic party in France .

Answer:
1. FN | True | as it is a political party (frenchpoliticalparty)
2. 2017 French presidential election | True | as it is an election (election)
3. Eurosceptic party | True | as it is a political party (frenchpoliticalparty)
4. France | True | as it is a country (country)

Example 3: The 2017 French presidential election caused a radical shift in French politics , as the prevailing parties of The Republicans and Socialists failed to make it to the second round of voting , with far-right Marine Le Pen and political newcomer Emmanuel Macron instead facing each other .

Answer:
1. 2017 French presidential election | True | as it is an election (election)
2. French politics | False | as it is an abstract concept, not a specific entity
3. The Republicans | True | as it is a political party (frenchpoliticalparty)
4. Socialists | True | as it is a political party (frenchpoliticalparty)
5. far-right | False | as it is an adjective describing a political orientation, not a specific entity
6. Marine Le Pen | True | as she is a French politician (frenchpolitician)
7. Emmanuel Macron | True | as he is a French politician (frenchpolitician)
8. political newcomer | False | as it is an abstract concept, not a specific entity

Q. Given the paragraph below, identify a list of possible entities and for each entry explain why it either is or is not an entity.

Paragraph: Westerwelle stepped down as party leader following the 2011 state elections , in which the party was wiped out in 2011 Saxony-Anhalt state election and 2011 Rhineland-Palatinate state election and lost half its seats in 2011 Baden-Württemberg state election .
","1. Westerwelle | True | as it is a person (person), specifically a German politician
2. party leader | False | as it is a role or title, not a specific entity
3. 2011 state elections | True | as it is an election (election)
4. 2011 Saxony-Anhalt state election | True | as it is an election (election)
5. 2011 Rhineland-Palatinate state election | True | as it is an election (election)
6. 2011 Baden-Württemberg state election | True | as it is an election (election)
7. Saxony-Anhalt | True | as it is a location (location), specifically a state in Germany
8. Rhineland-Palatinate | True | as it is a location (location), specifically a state in Germany
9. Baden-Württemberg | True | as it is a location (location), specifically a state in Germany
10. half its seats | False | as it is a quantitative concept, not a specific entity.","[51, 0, 0, 0, 0, 0, 0, 0, 25, 26, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 35, 26, 26, 0, 25, 35, 26, 26, 0, 0, 0, 0, 0, 0, 25, 35, 26, 26, 0]"
9,"['The', 'change', 'in', 'leadership', 'failed', 'to', 'revive', 'the', 'FDP', ""'s"", 'fortunes', ',', 'however', ',', 'and', 'in', 'the', 'next', 'series', 'of', 'state', 'elections', ',', 'the', 'party', 'lost', 'all', 'its', 'seats', 'in', '2011', 'Bremen', 'state', 'election', ',', '2011', 'Mecklenburg-Vorpommern', 'state', 'election', ',', 'and', '2011', 'Berlin', 'state', 'election', '.']","
Dfn: An entity is a person (person), organisation (organisation), french politician (politician), french political party (politicalparty), event (event), election (election), 
country (country), location (location) or other political entity (misc). Dates, times, abstract concepts, adjectives, and verbs are not entities.

Example 1: In the 2014 European Parliament election in France , the National Front won the elections with 24.85 % of the vote , a swing of 18.55 % , winning 24 seats , up from 3 previously .

Answer:
1. 2014 European Parliament election | True | as it is an election (election)
2. France | True | as it is a country (country)
3. National Front | True | as it is a political party (frenchpoliticalparty)

Example 2: The FN received 33.9 % of the votes in the 2017 French presidential election , making it the largest Eurosceptic party in France .

Answer:
1. FN | True | as it is a political party (frenchpoliticalparty)
2. 2017 French presidential election | True | as it is an election (election)
3. Eurosceptic party | True | as it is a political party (frenchpoliticalparty)
4. France | True | as it is a country (country)

Example 3: The 2017 French presidential election caused a radical shift in French politics , as the prevailing parties of The Republicans and Socialists failed to make it to the second round of voting , with far-right Marine Le Pen and political newcomer Emmanuel Macron instead facing each other .

Answer:
1. 2017 French presidential election | True | as it is an election (election)
2. French politics | False | as it is an abstract concept, not a specific entity
3. The Republicans | True | as it is a political party (frenchpoliticalparty)
4. Socialists | True | as it is a political party (frenchpoliticalparty)
5. far-right | False | as it is an adjective describing a political orientation, not a specific entity
6. Marine Le Pen | True | as she is a French politician (frenchpolitician)
7. Emmanuel Macron | True | as he is a French politician (frenchpolitician)
8. political newcomer | False | as it is an abstract concept, not a specific entity

Q. Given the paragraph below, identify a list of possible entities and for each entry explain why it either is or is not an entity.

Paragraph: The change in leadership failed to revive the FDP 's fortunes , however , and in the next series of state elections , the party lost all its seats in 2011 Bremen state election , 2011 Mecklenburg-Vorpommern state election , and 2011 Berlin state election .
","1. change in leadership | False | as it is an event but not a specific entity, it's a general term for a shift in leadership
2. FDP | True | as it is a political party (germanpoliticalparty), assuming FDP refers to the Free Democratic Party in Germany
3. fortunes | False | as it is an abstract concept, not a specific entity
4. next series of state elections | True | as it is an event (event), although it's a series of events
5. 2011 Bremen state election | True | as it is an election (election)
6. 2011 Mecklenburg-Vorpommern state election | True | as it is an election (election)
7. 2011 Berlin state election | True | as it is an election (election)
8. Bremen | True | as it is a location (location), it's a city-state in Germany
9. Mecklenburg-Vorpommern | True | as it is a location (location), it's a federal state in Germany
10. Berlin | True | as it is a location (location), it's a city-state and the capital of Germany
11. party | True | as it is a political entity (misc), in this context referring to the FDP.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 30, 30, 30, 30, 0, 0, 41, 0, 0, 0, 0, 0, 25, 35, 26, 26, 0, 25, 35, 26, 26, 0, 0, 25, 35, 26, 26, 0]"
