"More recently , the memory of Charles Martel has been appropriated by far right and white nationalist groups , such as the ' Charles Martel Group ' in France , and by Australia -born Brenton Harrison Tarrant , the alleged perpetrator of the Christchurch mosque shootings at Al Noor Mosque and Linwood Islamic Centre in Christchurch , New Zealand in 2019 .","In the lead-up to the 2019 Australian federal election , extremist groups , some with members linked to far-right terrorism , have tried to present themselves as legitimate and exert influence on right-wing and far-right parties .",""" Kristy Campion , of Charles Sturt University , expert on far-right extremism and terrorism , says "" These groups are very good at framing their messaging in such a way that it will gain popular appeal .","According to him , many modern far-right movements , including parts of Jean-Marie Le Pen ' s National Front and Archbishop Marcel Lefebvre ' s Society of Saint Pius X , should be considered as parts of the Legitimist family .",Also present on this march were members of the Christian Heritage Party of New Zealand and white supremacist group New Zealand National Front .,"He adopted some of the positions of the contemporary far-right , notably the ethnopluralism of Alain de Benoist and the Europe -wide appeal associated with such views as the Europe a Nation campaign of Oswald Mosley ( amongst others ) ."
"Those that won their national elections included : The Brexit Party in the UK ( which was only launched on 12 April 2019 by former UKIP leader Nigel Farage ) , the National Rally of France ( formerly the National Front party until June 2018 ) , Fidesz in Hungary , Lega Nord in Italy , and Law and Justice in Poland .","Those that won their national elections included : UKIP in the UK ( the first time since 1906 that a party other than Labour or the Conservatives had won a national vote ) , the National Front in France , the People 's Party in Denmark and Syriza in Greece .","On 12 April 2019 a new Eurosceptic party , the Brexit Party was officially launched by former UK Independence Party Leader Nigel Farage .","After the 2019 European Parliament election in Italy , Lega Nord co-founded the Identity and Democracy ( ID ) group , alongside the French National Rally , the Danish People 's Party , the Freedom Party of Austria , the Conservative People 's Party of Estonia , the Finns Party , the Belgian Vlaams Belang , the Czech Freedom and Direct Democracy party , and Alternative for Germany .","One year later , Le Pen announced the formation of Europe of Nations and Freedom , a parliamentary grouping composed of the National Front , the Freedom Party of Austria , Lega Nord of Italy , the Dutch Party for Freedom , the Congress of the New Right from Poland , the Flemish Vlaams Belang of Belgium , and British independent MEP Janice Atkinson , formerly of UKIP .","In January 2019 , Farage founded the Brexit Party , and in February , established it in the European Parliament , with nine MEPs who had left UKIP joining the party : himself , Tim Aker , Jonathan Bullock , David Coburn , Bill Etheridge , Nathan Gill , Diane James , Paul Nuttall and Julia Reid ."
"The FN received 33.9 % of the votes in the 2017 French presidential election , making it the largest Eurosceptic party in France .","In the 2014 European Parliament election in France , the National Front won the elections with 24.85 % of the vote , a swing of 18.55 % , winning 24 seats , up from 3 previously .","During the 2017 French legislative election , the FN received 13.02 % of the vote , which represented a disappointment compared to the 13.07 % of the 2012 elections .","In the 2014 European Parliament election in France , the party received 13.98 % of the vote on a joint list with the PS , electing one MEP Virginie Rozière , who joined the Progressive Alliance of Socialists and Democrats ( S & amp ; D ) group with PS MEPs .","She won the leadership of the FN in 2011 , with 67.65 % of the vote , defeating Bruno Gollnisch and succeeding her father , who had been president of the party since he founded it in 1972 .","On 24 May 2014 , the FN won the 2014 European Parliament election in France , with 24.90 % of the vote ."
"In the 2014 European Parliament election in France , the National Front won the elections with 24.85 % of the vote , a swing of 18.55 % , winning 24 seats , up from 3 previously .","In the 2009 European Parliament election in France , the party was an integral part of the Europe Écologie coalition , led by Daniel Cohn-Bendit , which gained 8 seats for a total of 14 on a 16.3 % of the vote .","During the 2017 French legislative election , the FN received 13.02 % of the vote , which represented a disappointment compared to the 13.07 % of the 2012 elections .","In the 2014 European Parliament election in France , the party received 13.98 % of the vote on a joint list with the PS , electing one MEP Virginie Rozière , who joined the Progressive Alliance of Socialists and Democrats ( S & amp ; D ) group with PS MEPs .","On 24 May 2014 , the FN won the 2014 European Parliament election in France , with 24.90 % of the vote .","Standing by itself in the 2004 European Parliament election in France , the MPF obtained 7.6 % of the popular vote and returned three Members of the European Parliament ( MEPs ) ."
"Following the timeline set by the Nouméa Accord , the groundwork was laid for a Referendum on full independence from France at a meeting chaired by the French Prime Minister Édouard Philippe on 2 November 2017 , with the referendum to be held by November 2018 .","On 28 September 1958 Charles de Gaulle proposed a constitutional referendum to the French Community : the territories were given the choice of either supporting the constitution or proclaiming their independence and being cut off from France.Nandjui , p .","The 1958 referendum on the new constitution of the French Fifth Republic was effectively an independence referendum , as if the terms of the constitution were rejected , the country would become an independent state .","In the 1958 referendum on establishing the French Community , 93 % of voters voted in favour ; a no vote would have resulted in immediate independence .","In 1958 a constitutional referendum was held across the French colonial empire ; rejection would result in immediate independence , whilst approval would result in the territory joining the French Community .",A referendum on remaining a United Nations Trust Territory or becoming an autonomous region within the French Union was held in 1956 and resulted in a large majority in favour of the French option .
"Since the Second World War the only leaders to have done so have been French president Charles de Gaulle in 1960 , South African president Nelson Mandela in 1996 , Pope Benedict XVI in 2010 , U.S. president Barack Obama in 2011 and Burmese opposition leader Aung San Suu Kyi in 2012. and Aung San Suu Kyi was the first non-head of state to be given the accolade of addressing MPs and peers in Westminster Hall .","Other famous visitors to Áras an Uachtaráin have been Nelson Mandela , Aung Sang Suu Kyi , Princess Grace of Monaco and her husband , Prince Rainier III ; King Baudouin of the Belgians ; King Juan Carlos and Queen Sofía ; Pope John Paul II ; Prince Charles , Prince Philip , Indian prime-ministers Jawaharlal Nehru and Narendra Modi , and Pope Francis .","Among the world leaders who have visited Leinster House to address joint sessions of the Oireachtas are U.S. presidents John F. Kennedy , Ronald Reagan and Bill Clinton , British Prime Minister Tony Blair , Australian prime ministers Bob Hawke , Paul Keating , John Howard and French President François Mitterrand .",Among the guests were United States President Lyndon B. Johnson ; Princess Grace of Monaco ; former US First Lady Jacqueline Kennedy Onassis ; Emperor Haile Selassie of Ethiopia ; and French president Charles de Gaulle .,""" In recent years British historians headed by Simon Sebag-Montefiore have included this speech in a book on speeches that changed the world , which includes others by Martin Luther King , Jr , Nelson Mandela , Winston Churchill and John F. Kennedy .","Likewise , she visited Pius XII ( 1950 ) , Charles de Gaulle ( 1961 ) , and John F. Kennedy ( 1963 ) .Kreins , Jean-Marie ."
"Other significant electoral results for European green parties include Germany 's Alliance ' 90 / The Greens in the 2002 German federal election and France 's Europe Ecology - The Greens in the 2012 French legislative election , in which they both won more seats than any other third party .",In the 2017 German federal election the Greens came sixth with 8.9 % of the votes and 67 out of 709 seats in the Bundestag .,"Despite the crises of the preceding electoral period , in the 2002 German federal election , the Greens increased their total to 55 seats ( in a smaller parliament ) and 8.6 % .","The Italian Federation of the Greens , the French Greens , the German Alliance ' 90 / The Greens and both Belgian Green parties , the French-speaking Ecolo and the Dutch-speaking Agalev were part of government during the late 1990s .","The German Green Party was not the first Green Party in Europe to have members elected nationally but the impression was created that they had been , because they attracted the most media attention : The German Greens , contended in their first national election in the 1980 West German federal election .","The party , in alliance with The Greens obtained about 14 % of the vote in the 1992 French regional elections ; but the 1993 French legislative election was disappointing for the Green-GE alliance , as it failed to win any seats and won only 7 % ( other ecologist parties brought the score up to 11 % ) , when polls had given them up to 16 % ."
He became honorary chairman of the party and won his seat again at the 2014 European Parliament election in France .,He was re-elected at the 2014 European Parliament election in France .,"In 2014 European Parliament election in Finland European Parliament election , the party regained their seat .","In 1994 he was 1994 European Parliament election in France as a member of the European Parliament , representing the "" Majorité pour l 'autre Europe "" party , and subsequently became the leader of the eurosceptic Europe of Nations group within the European Parliament .","He led his party into several elections , including the 2014 European Parliament election in the United Kingdom .",He was re-elected 2009 European Parliament election in the Czech Republic and became Vice-Chairman of the newly founded ECR .
"In 2016 Jean-Luc Mélenchon , formerly of the ICO , launched the left-wing political platform "" La France Insoumise ' "" ( Unbowed France ) subsequently endorsed by several parties , including his own Left Party and the French Communist Party .","Since 2009 the PCF has been a leading member of the Left Front ( "" Front de gauche "" ) , alongside Jean-Luc Mélenchon ' s Left Party ( PG ) .","During the 2017 French presidential election , the PCF supported Mélenchon 's candidature ; however , tensions between the PCF and Mélenchon 's movement , La France insoumise , have led the two movements to campaign separately for the general elections .","This group , which wanted to be a part of the left-wing Common Programme , broke away to create the Radical Party of the Left ( MRG ) and at the 1974 French presidential election , supported Mitterrand , the candidate of the left-wing .","Emmanuel Macron , a former member of the Socialist Party , launched La République En Marche ! in 2016 and was elected President of France the next year .","In 2016 Emmanuel Macron , a former member of the Socialist Party , launched La République En Marche ! , a liberal party , and was elected President of France in the 2017 French presidential election ."
"In the 2012 French legislative election , the National Front won two seats : Gilbert Collard and Marion Maréchal .","In the 2014 European Parliament election in France , the National Front won the elections with 24.85 % of the vote , a swing of 18.55 % , winning 24 seats , up from 3 previously .","During the 2017 French legislative election , the FN received 13.02 % of the vote , which represented a disappointment compared to the 13.07 % of the 2012 elections .","Marine Le Pen was elected to the National Assembly for the first time , and Gilbert Collard was re-elected .","In the 2012 French legislative election , the PRG won 12 seats .","Nationally , the FN had two lawmakers elected : Le Pen 's niece Marion Maréchal and Gilbert Collard ."
